date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
8/3/1999,Tajikistan,Iraq,1.0,2.0,AFC Asian Cup qualification,Dushanbe,Tajikistan,False
8/5/1999,Iraq,Oman,2.0,0.0,AFC Asian Cup qualification,Dushanbe,Tajikistan,True
8/5/1999,Tajikistan,Kyrgyzstan,3.0,2.0,AFC Asian Cup qualification,Dushanbe,Tajikistan,False
8/7/1999,Iraq,Kyrgyzstan,5.0,1.0,AFC Asian Cup qualification,Dushanbe,Tajikistan,True
8/7/1999,Tajikistan,Oman,2.0,1.0,AFC Asian Cup qualification,Dushanbe,Tajikistan,False
10/18/1999,Hong Kong,Cambodia,4.0,1.0,AFC Asian Cup qualification,Victoria,Hong Kong,False
10/24/1999,Hong Kong,Indonesia,1.0,1.0,AFC Asian Cup qualification,Victoria,Hong Kong,False
10/30/1999,Cambodia,Indonesia,1.0,5.0,AFC Asian Cup qualification,Phnom Penh,Cambodia,False
11/7/1999,Cambodia,Hong Kong,0.0,1.0,AFC Asian Cup qualification,Phnom Penh,Cambodia,False
11/14/1999,Indonesia,Hong Kong,3.0,1.0,AFC Asian Cup qualification,Jakarta,Indonesia,False
11/20/1999,Indonesia,Cambodia,9.0,2.0,AFC Asian Cup qualification,Jakarta,Indonesia,False
11/21/1999,Bangladesh,Uzbekistan,0.0,6.0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
11/21/1999,United Arab Emirates,India,3.0,1.0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,False
11/23/1999,Sri Lanka,Uzbekistan,0.0,6.0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
11/23/1999,United Arab Emirates,Bangladesh,3.0,0.0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,False
11/25/1999,India,Uzbekistan,2.0,3.0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
11/25/1999,Sri Lanka,Bangladesh,1.0,3.0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
11/27/1999,Sri Lanka,India,1.0,3.0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
11/27/1999,United Arab Emirates,Uzbekistan,0.0,1.0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,False
11/29/1999,India,Bangladesh,2.0,2.0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
11/29/1999,United Arab Emirates,Sri Lanka,6.0,0.0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,False
1/23/2000,China PR,Philippines,8.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,True
1/23/2000,Vietnam,Guam,11.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,False
1/26/2000,China PR,Guam,19.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,True
1/26/2000,Vietnam,Philippines,3.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,False
1/29/2000,Philippines,Guam,2.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,True
1/29/2000,Vietnam,China PR,0.0,2.0,AFC Asian Cup qualification,Hanoi,Vietnam,False
2/10/2000,Kuwait,Turkmenistan,6.0,1.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False
2/10/2000,Nepal,Yemen,0.0,3.0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
2/12/2000,Nepal,Bhutan,3.0,0.0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
2/12/2000,Yemen,Turkmenistan,0.0,1.0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
2/13/2000,Macau,Brunei,1.0,0.0,AFC Asian Cup qualification,Macau,Macau,False
2/13/2000,Singapore,Japan,0.0,3.0,AFC Asian Cup qualification,Macau,Macau,True
2/14/2000,Kuwait,Bhutan,20.0,0.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False
2/14/2000,Turkmenistan,Nepal,5.0,0.0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
2/16/2000,Bhutan,Turkmenistan,0.0,8.0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
2/16/2000,Japan,Brunei,9.0,0.0,AFC Asian Cup qualification,Macau,Macau,True
