Key,Squad,Poss,Gls,Sh,SoT,SoT%,PKatt,CrdY,CrdR,Fld,Int,O. CrdY,Confederation_AFC,Confederation_CAF,Confederation_CONCACAF,Confederation_CONMEBOL,Confederation_UEFA
2019-Gold Cup-Guyana,Guyana,41.7,1,5.33,1.67,31.3,0.67,1.33,0,15.3,11.3,0.33,0,0,1,0,0
2019-Gold Cup-Nicaragua,Nicaragua,56.3,0,12,3,25,0,1.67,0,16.3,9,2,0,0,1,0,0
2017-Gold Cup-Nicaragua,Nicaragua,47.7,0.33,11.3,3.33,29.4,0,1.67,0.33,17,15.3,2,0,0,1,0,0
2017-Gold Cup-French Guiana,French Guiana,50.5,0.67,11.3,4,35.3,0,1.67,0.33,12.3,15.3,1.33,0,0,1,0,0
2021-Africa Cup of Nations-Algeria,Algeria,64,0.33,15.3,5,32.6,0.33,2.33,0,17,9.67,2.67,0,1,0,0,0
2019-Africa Cup of Nations-Algeria,Algeria,49.3,1.64,10.5,3.56,33.8,0.27,0.41,0,18.5,9.18,2.05,0,1,0,0,0
2017-Africa Cup of Nations-Algeria,Algeria,55,1.67,12.3,5.67,45.9,0,2.33,0,15,15.7,1,0,1,0,0,0
2015-Africa Cup of Nations-Algeria,Algeria,51,1.25,8.5,4,47.1,0,0.5,0,18.8,16.3,1.25,0,1,0,0,0
2021-Africa Cup of Nations-Burkina Faso,Burkina Faso,42.7,1.1,9.86,4.11,41.7,0.14,2.47,0.14,14.9,10.4,2.6,0,1,0,0,0
2017-Africa Cup of Nations-Burkina Faso,Burkina Faso,49.7,1.11,12.7,3.81,30,0,0.63,0,17,11.9,1.59,0,1,0,0,0
2015-Africa Cup of Nations-Burkina Faso,Burkina Faso,55.7,0.33,15.7,4,25.5,0,0.33,0,14,8,1.33,0,1,0,0,0
2021-Africa Cup of Nations-Cameroon,Cameroon,59.7,1.92,14.8,5.07,34.3,0.27,1.51,0,13.6,6.44,2.05,0,1,0,0,0
2019-Africa Cup of Nations-Cameroon,Cameroon,62.8,1,12,3,25,0,0.5,0,12.8,6.5,1.25,0,1,0,0,0
2017-Africa Cup of Nations-Cameroon,Cameroon,50.3,1.11,12.4,3.81,30.8,0,0.16,0,13.2,9.37,0.79,0,1,0,0,0
2015-Africa Cup of Nations-Cameroon,Cameroon,54.7,0.67,10,2.33,23.3,0,0,0,22.3,12,2,0,1,0,0,0
2021-Africa Cup of Nations-Cape Verde,Cape Verde,46.3,0.5,6,2,33.3,0,1,0.5,11.3,10.5,1.25,0,1,0,0,0
2015-Africa Cup of Nations-Cape Verde,Cape Verde,49.7,0.33,10.7,3.67,34.4,0.33,0.33,0,24.3,9.67,1,0,1,0,0,0
2021-Africa Cup of Nations-Comoros,Comoros,44,1,10.3,2.75,26.8,0,1.5,0.25,14.5,14,1.5,0,1,0,0,0
2021-Africa Cup of Nations-Côte d'Ivoire,Côte d'Ivoire,54,1.4,12.6,5.81,46.3,0.23,1.63,0,13.7,10.2,1.4,0,1,0,0,0
2019-Africa Cup of Nations-Côte d'Ivoire,Côte d'Ivoire,43.4,1.32,10.8,4.72,43.9,0,0.19,0,21.5,12.1,1.13,0,1,0,0,0
2017-Africa Cup of Nations-Côte d'Ivoire,Côte d'Ivoire,62.7,0.67,11.3,3.67,32.4,0,1,0,22.3,10.3,1,0,1,0,0,0
2015-Africa Cup of Nations-Côte d'Ivoire,Côte d'Ivoire,49,1.43,9.68,3.49,36.1,0,1.11,0.16,18.7,13.8,1.11,0,1,0,0,0
2021-Africa Cup of Nations-Equ. Guinea,Equ. Guinea,45.4,0.57,10,2.83,28.3,0,2.45,0,15.7,9.06,2.64,0,1,0,0,0
2015-Africa Cup of Nations-Equ. Guinea,Equ. Guinea,44.3,0.75,8.36,2.99,35.7,0.3,0.9,0,17,14.9,2.09,0,1,0,0,0
2021-Africa Cup of Nations-Ethiopia,Ethiopia,49.7,0.67,10,4,40,0.33,1.33,0.33,11,10.7,1,0,1,0,0,0
2021-Africa Cup of Nations-Gabon,Gabon,44,0.7,10.9,2.56,23.4,0,3.49,0.23,15.8,9.07,2.79,0,1,0,0,0
2017-Africa Cup of Nations-Gabon,Gabon,54.3,0.67,8.67,3,34.6,0.33,0.33,0,15.3,11.7,1,0,1,0,0,0
2015-Africa Cup of Nations-Gabon,Gabon,59.7,0.67,11.3,4.67,41.2,0,2,0,16.3,12.7,1,0,1,0,0,0
2021-Africa Cup of Nations-Gambia,Gambia,38.2,0.8,7.6,2.2,28.9,0.2,2.6,0.2,15.4,6.6,2,0,1,0,0,0
2021-Africa Cup of Nations-Ghana,Ghana,51,1,10.7,3.67,34.4,0,2.33,0.67,23,11,1.67,0,1,0,0,0
2019-Africa Cup of Nations-Ghana,Ghana,49.5,0.93,10.7,2.56,23.9,0,0.93,0.23,16.5,8.14,1.4,0,1,0,0,0
2017-Africa Cup of Nations-Ghana,Ghana,50.5,0.67,11.3,3.17,27.9,0.33,0.33,0,17.8,11.2,1.17,0,1,0,0,0
2015-Africa Cup of Nations-Ghana,Ghana,49.8,1.59,12.7,3.49,27.5,0.32,0.63,0,21.7,11.9,2.86,0,1,0,0,0
2021-Africa Cup of Nations-Guinea,Guinea,57.8,0.5,13.3,2.75,20.8,0,2.5,0.25,13.8,8.25,2.25,0,1,0,0,0
2019-Africa Cup of Nations-Guinea,Guinea,58.5,1,12.8,2.75,21.6,0.25,0.75,0,13,8.5,2,0,1,0,0,0
2015-Africa Cup of Nations-Guinea,Guinea,51.8,0.75,7.5,2,26.7,0.25,1.25,0.25,16.8,14.3,1,0,1,0,0,0
2021-Africa Cup of Nations-Guinea-Bissau,Guinea-Bissau,48.3,0,8.67,3,34.6,0.33,1.33,0,18,6.67,1,0,1,0,0,0
2019-Africa Cup of Nations-Guinea-Bissau,Guinea-Bissau,41.3,0,7,1.33,19,0,1.33,0,12.3,6.67,1.67,0,1,0,0,0
2017-Africa Cup of Nations-Guinea-Bissau,Guinea-Bissau,45.7,0.67,12,3.33,27.8,0,1,0,19,9.33,1.33,0,1,0,0,0
2021-Africa Cup of Nations-Malawi,Malawi,29.5,0.75,8.25,2.5,30.3,0,2.25,0,11,10.8,1.25,0,1,0,0,0
2021-Africa Cup of Nations-Mali,Mali,59,0.93,14.2,2.79,19.7,0.7,1.63,0.23,16,9.07,2.33,0,1,0,0,0
2019-Africa Cup of Nations-Mali,Mali,53.5,1.5,11.5,4.25,37,0.25,1.5,0,15.5,10.8,2.5,0,1,0,0,0
2017-Africa Cup of Nations-Mali,Mali,53,0.33,13.3,2,15,0,0.33,0,19,13,1.67,0,1,0,0,0
2015-Africa Cup of Nations-Mali,Mali,41.7,1,9.33,3.33,35.7,0.33,2,0,18.7,16,0.67,0,1,0,0,0
2021-Africa Cup of Nations-Mauritania,Mauritania,47,0,12.7,2,15.8,0,1.67,0,18.3,8.33,2.33,0,1,0,0,0
2019-Africa Cup of Nations-Mauritania,Mauritania,42.7,0.33,3,0.33,11.1,0.33,2.33,0,8.67,5.67,2,0,1,0,0,0
2021-Africa Cup of Nations-Sierra Leone,Sierra Leone,40,0.67,7.67,2.67,34.8,0.33,3,0.33,13.7,11,1.33,0,1,0,0,0
2021-Africa Cup of Nations-Sudan,Sudan,40.3,0.33,7.67,2.33,30.4,0.33,1.33,0,10.3,10.3,1.33,0,1,0,0,0
2021-Africa Cup of Nations-Zimbabwe,Zimbabwe,46.3,1,11.3,3.67,32.4,0,2.67,0,11.7,6.67,2,0,1,0,0,0
2019-Africa Cup of Nations-Zimbabwe,Zimbabwe,52.3,0.33,13.3,3,22.5,0,0.67,0,17.3,10.3,1.33,0,1,0,0,0
2017-Africa Cup of Nations-Zimbabwe,Zimbabwe,44,1.33,11,4.67,42.4,0.33,1.33,0,16,11,1.67,0,1,0,0,0
2019-Africa Cup of Nations-Angola,Angola,51.7,0.33,6.33,1.67,26.3,0,2,0,15,7,1.33,0,1,0,0,0
2019-Africa Cup of Nations-Benin,Benin,41.6,0.57,8.68,1.7,19.6,0,1.13,0.19,14.9,5.28,2.08,0,1,0,0,0
2019-Africa Cup of Nations-Burundi,Burundi,41.3,0,12.3,4,32.4,0,1.33,0.33,14.3,12,0.67,0,1,0,0,0
2019-Africa Cup of Nations-Congo DR,Congo DR,49,1.4,13.3,5.35,40.4,0.23,1.63,0,17.4,11.4,1.4,0,1,0,0,0
2017-Africa Cup of Nations-Congo DR,Congo DR,44.3,1.75,10.8,3.5,32.6,0,0.75,0.25,17.8,16.3,1,0,1,0,0,0
2015-Africa Cup of Nations-Congo DR,Congo DR,53,1.11,13.8,5.56,40.2,0.16,0,0,17.5,13.7,1.43,0,1,0,0,0
2019-Africa Cup of Nations-Kenya,Kenya,44,1,10.3,3.67,35.5,0,2.67,0.33,15.3,6.33,1,0,1,0,0,0
2019-Africa Cup of Nations-Madagascar,Madagascar,44.4,1.32,8.68,3.4,39.1,0,0.19,0,19.6,10.9,0.57,0,1,0,0,0
2019-Africa Cup of Nations-Namibia,Namibia,43.7,0.33,6.67,1.67,25,0,1.67,0,14,9,0.33,0,1,0,0,0
2019-Africa Cup of Nations-South Africa,South Africa,51.4,0.6,8.4,3,35.7,0,0.6,0,17.6,11.8,1.6,0,1,0,0,0
2015-Africa Cup of Nations-South Africa,South Africa,44.7,1,11,2.67,24.2,0.33,1.33,0,9.67,16,0.67,0,1,0,0,0
