Key,Squad,Poss,Gls,Sh,SoT,SoT%,PKatt,CrdY,CrdR,Fld,Int,O. CrdY,Confederation_AFC,Confederation_CAF,Confederation_CONCACAF,Confederation_CONMEBOL,Confederation_UEFA
2021-UEFA Euro Qualifiers-Malta,Malta,32.9,0.3,6.7,1.2,17.9,0.1,1.5,0.1,10.8,10.9,0.8,0,0,0,0,1
2022-UEFA WCQ-Moldova,Moldova,36.8,0.5,7,2.6,37.1,0.1,2.6,0.2,9.9,17.4,0.6,0,0,0,0,1
2021-UEFA Euro Qualifiers-Moldova,Moldova,41.9,0.3,4.8,1.2,25,0,2.3,0.2,10.2,7.6,1.6,0,0,0,0,1
2022-UEFA WCQ-Montenegro,Montenegro,47.8,1.4,14.8,4.6,31.1,0.1,2.4,0.1,11.1,10.6,2,0,0,0,0,1
2021-UEFA Euro Qualifiers-Montenegro,Montenegro,42.8,0.13,6.38,2.25,35.3,0,1.75,0,14.1,6.75,2.25,0,0,0,0,1
2022-UEFA WCQ-Norway,Norway,58.5,1.5,17.5,5.5,31.4,0.1,1.7,0.1,8.9,11.4,2.2,0,0,0,0,1
2021-UEFA Euro Qualifiers-Norway,Norway,52.4,1.42,10,3.81,38.1,0.27,0.44,0,8.05,7.26,2.3,0,0,0,0,1
2022-UEFA WCQ-San Marino,San Marino,24.9,0.1,3.8,0.9,23.7,0,2.4,0.1,10.7,11.4,0.9,0,0,0,0,1
2021-UEFA Euro Qualifiers-San Marino,San Marino,22,0.1,2.4,1.1,45.8,0,1.8,0,10.1,8.2,0.8,0,0,0,0,1
2022-UEFA WCQ-Slovenia,Slovenia,49.7,1.3,11.1,3.7,33.3,0.2,2.1,0.1,13.7,9.4,2.2,0,0,0,0,1
2021-UEFA Euro Qualifiers-Slovenia,Slovenia,50.8,1.3,10.8,3.8,35.2,0.2,1.4,0.2,12.5,6,3.1,0,0,0,0,1
