Key,Year,Competition,Squad,Age,Poss
2019-de Bundesliga-Mainz 05,2019,de Bundesliga,Mainz 05,24.2,46.1
2019-eng Premier League-Manchester City,2019,eng Premier League,Manchester City,26.7,67.8
2019-eng Premier League-Manchester Utd,2019,eng Premier League,Manchester Utd,26.3,54.5
2019-fr Ligue 1-Marseille,2019,fr Ligue 1,Marseille,26.9,55.5
2019-it Serie A-Milan,2019,it Serie A,Milan,24.8,54.2
2019-fr Ligue 1-Monaco,2019,fr Ligue 1,Monaco,25.6,49.8
2019-fr Ligue 1-Montpellier,2019,fr Ligue 1,Montpellier,28,47.8
2019-fr Ligue 1-Nantes,2019,fr Ligue 1,Nantes,25.9,50.1
2019-it Serie A-Napoli,2019,it Serie A,Napoli,27,59.4
2019-eng Premier League-Newcastle Utd,2019,eng Premier League,Newcastle Utd,26.9,40.4
2019-fr Ligue 1-Nice,2019,fr Ligue 1,Nice,24.2,55.6
2019-fr Ligue 1-Nîmes,2019,fr Ligue 1,Nîmes,24.1,45.4
2019-de Bundesliga-Nürnberg,2019,de Bundesliga,Nürnberg,24.9,42.3
2019-fr Ligue 1-Paris S-G,2019,fr Ligue 1,Paris S-G,26.2,64.1
2019-it Serie A-Parma,2019,it Serie A,Parma,29.4,37.3
2019-es La Liga-Rayo Vallecano,2019,es La Liga,Rayo Vallecano,26.6,48.7
2019-de Bundesliga-RB Leipzig,2019,de Bundesliga,RB Leipzig,24,49.3
2019-es La Liga-Real Madrid,2019,es La Liga,Real Madrid,27.1,60
2019-es La Liga-Real Sociedad,2019,es La Liga,Real Sociedad,24.9,51.6
2019-fr Ligue 1-Reims,2019,fr Ligue 1,Reims,26.2,43.3
2019-fr Ligue 1-Rennes,2019,fr Ligue 1,Rennes,25.7,50.7
2019-it Serie A-Roma,2019,it Serie A,Roma,27.5,51.7
2019-fr Ligue 1-Saint-Étienne,2019,fr Ligue 1,Saint-Étienne,27.8,52.7
2019-it Serie A-Sampdoria,2019,it Serie A,Sampdoria,26.1,55.3
2019-it Serie A-Sassuolo,2019,it Serie A,Sassuolo,25.4,54
2019-de Bundesliga-Schalke 04,2019,de Bundesliga,Schalke 04,25.8,45.4
2019-es La Liga-Sevilla,2019,es La Liga,Sevilla,27.9,52.2
2019-eng Premier League-Southampton,2019,eng Premier League,Southampton,25.4,43.9
2019-it Serie A-SPAL,2019,it Serie A,SPAL,27.8,50.6
2019-fr Ligue 1-Strasbourg,2019,fr Ligue 1,Strasbourg,26.2,50.2
2019-de Bundesliga-Stuttgart,2019,de Bundesliga,Stuttgart,26.3,45.9
2019-it Serie A-Torino,2019,it Serie A,Torino,27.6,51.4
2019-eng Premier League-Tottenham,2019,eng Premier League,Tottenham,26.8,58.9
2019-fr Ligue 1-Toulouse,2019,fr Ligue 1,Toulouse,25.5,48.3
2019-it Serie A-Udinese,2019,it Serie A,Udinese,25.3,42.4
2019-es La Liga-Valencia,2019,es La Liga,Valencia,26.4,47.1
2019-es La Liga-Valladolid,2019,es La Liga,Valladolid,27.4,47
2019-es La Liga-Villarreal,2019,es La Liga,Villarreal,27.1,48.3
2019-eng Premier League-Watford,2019,eng Premier League,Watford,28.5,47.1
2019-de Bundesliga-Werder Bremen,2019,de Bundesliga,Werder Bremen,27.1,52.2
2019-eng Premier League-West Ham,2019,eng Premier League,West Ham,27.6,48.7
2019-de Bundesliga-Wolfsburg,2019,de Bundesliga,Wolfsburg,25.4,53.3
2019-eng Premier League-Wolves,2019,eng Premier League,Wolves,26.1,46.9
