Key,Year,Competition,Squad,CrdY,CrdR,Fld,Int,TklW
2020-es La Liga-Real Sociedad,2020,es La Liga,Real Sociedad,2.08,0.05,15,5.95,9.53
2020-fr Ligue 1-Reims,2020,fr Ligue 1,Reims,1.86,0.18,14.5,8.14,12.3
2020-fr Ligue 1-Rennes,2020,fr Ligue 1,Rennes,1.82,0.04,15.2,6.71,12.1
2020-it Serie A-Roma,2020,it Serie A,Roma,2.92,0.18,12.8,6.18,8.97
2020-fr Ligue 1-Saint-Étienne,2020,fr Ligue 1,Saint-Étienne,2.11,0.11,12.4,9.86,13.5
2020-it Serie A-Sampdoria,2020,it Serie A,Sampdoria,2.92,0.18,13.7,7.58,10.8
2020-it Serie A-Sassuolo,2020,it Serie A,Sassuolo,2.61,0.08,16.6,6.53,10.4
2020-de Bundesliga-Schalke 04,2020,de Bundesliga,Schalke 04,1.88,0.06,12.3,9,12.6
2020-es La Liga-Sevilla,2020,es La Liga,Sevilla,2.55,0.03,14.3,5.47,10.5
2020-eng Premier League-Sheffield Utd,2020,eng Premier League,Sheffield Utd,1.66,0.05,9.47,6.84,10.3
2020-eng Premier League-Southampton,2020,eng Premier League,Southampton,1.45,0.11,11.9,7.76,12.7
2020-it Serie A-SPAL,2020,it Serie A,SPAL,2.58,0.11,15.4,6.58,9.37
2020-fr Ligue 1-Strasbourg,2020,fr Ligue 1,Strasbourg,1.7,0.04,12.4,9.07,12.5
2020-it Serie A-Torino,2020,it Serie A,Torino,2.53,0.18,16.4,8.92,10.6
2020-eng Premier League-Tottenham,2020,eng Premier League,Tottenham,2.21,0.08,13.2,6.82,11.7
2020-fr Ligue 1-Toulouse,2020,fr Ligue 1,Toulouse,1.71,0.18,11.3,8.5,14
2020-it Serie A-Udinese,2020,it Serie A,Udinese,2.03,0.08,11.9,6.95,10.4
2020-de Bundesliga-Union Berlin,2020,de Bundesliga,Union Berlin,2.09,0.15,11.8,8.44,10.9
2020-es La Liga-Valencia,2020,es La Liga,Valencia,2.11,0.21,16,5.82,8.92
2020-es La Liga-Valladolid,2020,es La Liga,Valladolid,2.21,0,15.8,7.05,10.5
2020-es La Liga-Villarreal,2020,es La Liga,Villarreal,2.05,0.03,13,5.61,9.42
2020-eng Premier League-Watford,2020,eng Premier League,Watford,2.11,0.08,10.4,8.24,11.3
2020-de Bundesliga-Werder Bremen,2020,de Bundesliga,Werder Bremen,2.35,0.12,14.1,8.21,11.7
2020-eng Premier League-West Ham,2020,eng Premier League,West Ham,1.68,0.03,10.9,7.66,12.4
2020-de Bundesliga-Wolfsburg,2020,de Bundesliga,Wolfsburg,2.09,0.12,12.9,8.26,11.8
2020-eng Premier League-Wolves,2020,eng Premier League,Wolves,1.61,0.05,11.7,6.92,11.1
2019-es La Liga-Alavés,2019,es La Liga,Alavés,2.66,0.03,15.6,9.03,9.61
2019-fr Ligue 1-Amiens,2019,fr Ligue 1,Amiens,1.55,0.16,14.3,6.92,11.9
2019-fr Ligue 1-Angers,2019,fr Ligue 1,Angers,1.29,0.11,12.8,9.61,11.9
2019-eng Premier League-Arsenal,2019,eng Premier League,Arsenal,1.92,0.05,14.1,11.6,10.6
2019-it Serie A-Atalanta,2019,it Serie A,Atalanta,1.63,0.08,14.4,10.7,12.4
2019-es La Liga-Athletic Club,2019,es La Liga,Athletic Club,3.11,0.11,14.5,9.24,11.1
2019-es La Liga-Atlético Madrid,2019,es La Liga,Atlético Madrid,2.63,0.13,13.8,9.5,13.8
2019-de Bundesliga-Augsburg,2019,de Bundesliga,Augsburg,1.62,0.03,11.3,8.62,10.9
2019-es La Liga-Barcelona,2019,es La Liga,Barcelona,2,0.05,17.2,7.58,10.3
2019-de Bundesliga-Bayern Munich,2019,de Bundesliga,Bayern Munich,1.24,0.06,11.9,6.32,9.41
2019-es La Liga-Betis,2019,es La Liga,Betis,2.34,0.03,17.1,6.82,11.1
2019-it Serie A-Bologna,2019,it Serie A,Bologna,2.39,0.16,14.6,8.21,11.1
2019-fr Ligue 1-Bordeaux,2019,fr Ligue 1,Bordeaux,1.95,0.13,13.7,8.05,11.4
2019-eng Premier League-Bournemouth,2019,eng Premier League,Bournemouth,1.58,0.03,13.1,12.2,8.82
2019-eng Premier League-Brighton,2019,eng Premier League,Brighton,1.61,0.11,8.89,13.7,11.5
2019-eng Premier League-Burnley,2019,eng Premier League,Burnley,1.97,0.03,10.3,13.5,9.34
2019-fr Ligue 1-Caen,2019,fr Ligue 1,Caen,2.08,0.16,13.8,8.34,10.8
2019-it Serie A-Cagliari,2019,it Serie A,Cagliari,2.47,0.24,13.5,6.76,11.1
2019-eng Premier League-Cardiff City,2019,eng Premier League,Cardiff City,1.74,0.03,11.7,16.6,10.7
2019-es La Liga-Celta Vigo,2019,es La Liga,Celta Vigo,2.08,0.16,14.8,7.16,10.5
2019-eng Premier League-Chelsea,2019,eng Premier League,Chelsea,1.29,0,13.7,11.9,11.1
2019-it Serie A-Chievo,2019,it Serie A,Chievo,2.89,0.18,13.3,9.53,12.1
2019-eng Premier League-Crystal Palace,2019,eng Premier League,Crystal Palace,1.53,0.05,12.4,14.3,12
2019-fr Ligue 1-Dijon,2019,fr Ligue 1,Dijon,1.97,0.18,12.3,8.08,11.6
2019-de Bundesliga-Dortmund,2019,de Bundesliga,Dortmund,1.18,0.09,13.1,8.56,10.2
2019-de Bundesliga-Düsseldorf,2019,de Bundesliga,Düsseldorf,1.97,0.03,12.7,9.41,11.5
2019-es La Liga-Eibar,2019,es La Liga,Eibar,2.13,0.05,12.1,7.79,11.8
2019-de Bundesliga-Eint Frankfurt,2019,de Bundesliga,Eint Frankfurt,1.71,0.09,10.9,9.24,11.4
2019-it Serie A-Empoli,2019,it Serie A,Empoli,1.92,0.08,13.5,7.11,9.79
2019-es La Liga-Espanyol,2019,es La Liga,Espanyol,2.37,0.05,15.6,8.87,11.7
2019-eng Premier League-Everton,2019,eng Premier League,Everton,1.47,0.11,12.9,17.2,12.1
2019-it Serie A-Fiorentina,2019,it Serie A,Fiorentina,2.34,0.13,14.6,8.58,10.6
2019-de Bundesliga-Freiburg,2019,de Bundesliga,Freiburg,1.59,0.09,13,8.26,9.38
2019-it Serie A-Frosinone,2019,it Serie A,Frosinone,2.61,0.05,15.1,8.97,10.1
2019-eng Premier League-Fulham,2019,eng Premier League,Fulham,1.84,0.05,10.2,17.2,10.7
2019-it Serie A-Genoa,2019,it Serie A,Genoa,2.5,0.18,13.8,9,12.4
2019-es La Liga-Getafe,2019,es La Liga,Getafe,2.82,0.18,14.9,9.05,11
2019-es La Liga-Girona,2019,es La Liga,Girona,2.13,0.11,16.3,9.26,9.71
2019-fr Ligue 1-Guingamp,2019,fr Ligue 1,Guingamp,1.53,0.13,12.8,7.95,13.1
2019-de Bundesliga-Hannover 96,2019,de Bundesliga,Hannover 96,1.79,0.12,13.1,8.74,10.8
2019-de Bundesliga-Hertha BSC,2019,de Bundesliga,Hertha BSC,1.88,0.15,11.9,8.68,10.1
2019-de Bundesliga-Hoffenheim,2019,de Bundesliga,Hoffenheim,1.97,0.06,12,9,10.2
2019-eng Premier League-Huddersfield,2019,eng Premier League,Huddersfield,1.47,0.11,10.9,16.7,11.4
2019-es La Liga-Huesca,2019,es La Liga,Huesca,2.97,0.08,13,9.68,12.7
2019-it Serie A-Inter,2019,it Serie A,Inter,1.92,0.08,14.5,7.13,10.6
2019-it Serie A-Juventus,2019,it Serie A,Juventus,2,0.11,13.9,8.66,10.1
2019-it Serie A-Lazio,2019,it Serie A,Lazio,2.34,0.11,11.7,9.66,11.4
2019-es La Liga-Leganés,2019,es La Liga,Leganés,2.74,0.11,12,8.58,11
2019-eng Premier League-Leicester City,2019,eng Premier League,Leicester City,1.58,0.13,12.1,13.1,11.4
2019-es La Liga-Levante,2019,es La Liga,Levante,2.82,0.18,15.1,7.95,9.92
2019-de Bundesliga-Leverkusen,2019,de Bundesliga,Leverkusen,1.47,0.03,12.5,8.62,10.9
2019-fr Ligue 1-Lille,2019,fr Ligue 1,Lille,1.84,0.11,14.5,7.03,11.4
2019-eng Premier League-Liverpool,2019,eng Premier League,Liverpool,1.03,0.05,10.9,11.9,9.97
2019-fr Ligue 1-Lyon,2019,fr Ligue 1,Lyon,1.45,0.08,13.4,8.29,10.2
2019-de Bundesliga-M'Gladbach,2019,de Bundesliga,M'Gladbach,1.26,0,11.3,7.68,9.47
2019-de Bundesliga-Mainz 05,2019,de Bundesliga,Mainz 05,1.65,0,11.4,8.41,8.82
2019-eng Premier League-Manchester City,2019,eng Premier League,Manchester City,1.16,0.03,9.82,11.1,9.5
2019-eng Premier League-Manchester Utd,2019,eng Premier League,Manchester Utd,1.97,0.11,12.4,11.9,10.2
2019-fr Ligue 1-Marseille,2019,fr Ligue 1,Marseille,2.16,0.21,12.9,7.13,11.7
2019-it Serie A-Milan,2019,it Serie A,Milan,2.11,0.13,14.3,7.53,11.9
2019-fr Ligue 1-Monaco,2019,fr Ligue 1,Monaco,2.39,0.16,14.1,7.76,11.9
2019-fr Ligue 1-Montpellier,2019,fr Ligue 1,Montpellier,1.58,0.11,13.1,8.42,11.2
2019-fr Ligue 1-Nantes,2019,fr Ligue 1,Nantes,1.89,0.16,13.6,9.08,12.7
2019-it Serie A-Napoli,2019,it Serie A,Napoli,1.89,0.13,12.6,6.89,11.7
2019-eng Premier League-Newcastle Utd,2019,eng Premier League,Newcastle Utd,1.5,0.05,10.1,15.1,11.3
2019-fr Ligue 1-Nice,2019,fr Ligue 1,Nice,1.89,0.13,14.5,8.55,10.1
2019-fr Ligue 1-Nîmes,2019,fr Ligue 1,Nîmes,1.82,0.13,13.4,7.29,12.2
2019-de Bundesliga-Nürnberg,2019,de Bundesliga,Nürnberg,1.71,0.12,12.2,8.53,10.7
2019-fr Ligue 1-Paris S-G,2019,fr Ligue 1,Paris S-G,1.68,0.11,12.6,6.55,11.1
2019-it Serie A-Parma,2019,it Serie A,Parma,2.16,0.08,12.2,8.26,9.63
2019-es La Liga-Rayo Vallecano,2019,es La Liga,Rayo Vallecano,2.66,0.21,14.3,8.58,11.2
2019-de Bundesliga-RB Leipzig,2019,de Bundesliga,RB Leipzig,1.79,0.03,12.9,9.44,11.6
2019-es La Liga-Real Madrid,2019,es La Liga,Real Madrid,2.08,0.16,17,8.47,11
2019-es La Liga-Real Sociedad,2019,es La Liga,Real Sociedad,2.11,0.11,16.6,8.71,10.5
2019-fr Ligue 1-Reims,2019,fr Ligue 1,Reims,1.76,0.05,12.9,9.05,11.9
2019-fr Ligue 1-Rennes,2019,fr Ligue 1,Rennes,1.79,0.08,13.2,7.5,9.95
2019-it Serie A-Roma,2019,it Serie A,Roma,2.32,0.05,11.9,8.55,9.24
2019-fr Ligue 1-Saint-Étienne,2019,fr Ligue 1,Saint-Étienne,1.66,0.18,12.7,8,11.2
2019-it Serie A-Sampdoria,2019,it Serie A,Sampdoria,2.34,0.08,14.8,5.89,10.8
2019-it Serie A-Sassuolo,2019,it Serie A,Sassuolo,2.29,0.21,15.3,7.87,9.95
2019-de Bundesliga-Schalke 04,2019,de Bundesliga,Schalke 04,2.12,0.15,13.1,8.38,11.3
2019-es La Liga-Sevilla,2019,es La Liga,Sevilla,3,0.16,14.2,7.79,11.1
2019-eng Premier League-Southampton,2019,eng Premier League,Southampton,1.92,0.08,10.2,15.8,11.4
2019-it Serie A-SPAL,2019,it Serie A,SPAL,2.95,0.08,15.5,8.39,10.2
2019-fr Ligue 1-Strasbourg,2019,fr Ligue 1,Strasbourg,1.84,0.11,11.4,9.13,10.1
2019-de Bundesliga-Stuttgart,2019,de Bundesliga,Stuttgart,1.88,0.15,12.5,8.47,11.2
2019-it Serie A-Torino,2019,it Serie A,Torino,2.32,0.11,16.7,10.2,12.3
2019-eng Premier League-Tottenham,2019,eng Premier League,Tottenham,1.5,0.08,11.5,12.1,10.7
2019-fr Ligue 1-Toulouse,2019,fr Ligue 1,Toulouse,1.97,0.13,13,7.89,12.1
2019-it Serie A-Udinese,2019,it Serie A,Udinese,2.37,0.11,13.6,9.03,11.2
2019-es La Liga-Valencia,2019,es La Liga,Valencia,2.32,0.08,15.5,9.39,10
2019-es La Liga-Valladolid,2019,es La Liga,Valladolid,2.42,0,15.2,8.34,11.9
2019-es La Liga-Villarreal,2019,es La Liga,Villarreal,3.03,0.08,12.5,7.95,11.2
2019-eng Premier League-Watford,2019,eng Premier League,Watford,2.08,0.11,11.4,13.7,11.4
2019-de Bundesliga-Werder Bremen,2019,de Bundesliga,Werder Bremen,1.79,0.09,11.6,8.97,9.91
2019-eng Premier League-West Ham,2019,eng Premier League,West Ham,1.55,0.03,11.9,15.5,11.9
2019-de Bundesliga-Wolfsburg,2019,de Bundesliga,Wolfsburg,1.82,0,14.2,8.56,11.7
2019-eng Premier League-Wolves,2019,eng Premier League,Wolves,1.92,0.03,9.71,13.1,11.1
