Key,Year,Competition,Squad,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,PKatt
2019-it Serie A-Napoli,2019,it Serie A,Napoli,1.92,18.5,6.16,33.3,0.1,0.3,0.11
2019-eng Premier League-Newcastle Utd,2019,eng Premier League,Newcastle Utd,1.08,11.6,3.61,31.1,0.09,0.29,0.08
2019-fr Ligue 1-Nice,2019,fr Ligue 1,Nice,0.71,11.8,3.34,28.4,0.05,0.17,0.24
2019-fr Ligue 1-Nîmes,2019,fr Ligue 1,Nîmes,1.45,13.7,4.61,33.7,0.1,0.29,0.16
2019-de Bundesliga-Nürnberg,2019,de Bundesliga,Nürnberg,0.74,10.2,3,29.5,0.07,0.23,0.18
2019-fr Ligue 1-Paris S-G,2019,fr Ligue 1,Paris S-G,2.71,14.7,5.26,35.8,0.17,0.47,0.32
2019-it Serie A-Parma,2019,it Serie A,Parma,1.05,9.29,2.82,30.3,0.1,0.34,0.13
2019-es La Liga-Rayo Vallecano,2019,es La Liga,Rayo Vallecano,1.05,11.7,3.79,32.3,0.08,0.24,0.13
2019-de Bundesliga-RB Leipzig,2019,de Bundesliga,RB Leipzig,1.85,14.3,5.06,35.3,0.12,0.34,0.21
2019-es La Liga-Real Madrid,2019,es La Liga,Real Madrid,1.61,15.2,5.32,34.9,0.09,0.26,0.24
2019-es La Liga-Real Sociedad,2019,es La Liga,Real Sociedad,1.16,10.9,3.45,31.7,0.09,0.27,0.26
2019-fr Ligue 1-Reims,2019,fr Ligue 1,Reims,1.03,10.8,3.58,33,0.09,0.27,0.05
2019-fr Ligue 1-Rennes,2019,fr Ligue 1,Rennes,1.39,12.4,3.89,31.4,0.1,0.31,0.26
2019-it Serie A-Roma,2019,it Serie A,Roma,1.74,16.4,5.58,34,0.1,0.28,0.16
2019-fr Ligue 1-Saint-Étienne,2019,fr Ligue 1,Saint-Étienne,1.47,13.1,4.26,32.5,0.1,0.31,0.13
2019-it Serie A-Sampdoria,2019,it Serie A,Sampdoria,1.58,12.6,4.42,35.1,0.1,0.3,0.32
2019-it Serie A-Sassuolo,2019,it Serie A,Sassuolo,1.32,13.3,3.95,29.6,0.09,0.3,0.13
2019-de Bundesliga-Schalke 04,2019,de Bundesliga,Schalke 04,1.09,12,3.56,29.7,0.07,0.25,0.26
2019-es La Liga-Sevilla,2019,es La Liga,Sevilla,1.61,13.6,4.47,32.9,0.11,0.33,0.16
2019-eng Premier League-Southampton,2019,eng Premier League,Southampton,1.16,12.8,4.11,32.1,0.08,0.26,0.13
2019-it Serie A-SPAL,2019,it Serie A,SPAL,1.16,12,3.37,28,0.08,0.29,0.21
2019-fr Ligue 1-Strasbourg,2019,fr Ligue 1,Strasbourg,1.5,10.5,3.82,36.4,0.13,0.36,0.18
2019-de Bundesliga-Stuttgart,2019,de Bundesliga,Stuttgart,0.94,11.9,3.47,29.2,0.08,0.26,0.03
2019-it Serie A-Torino,2019,it Serie A,Torino,1.32,13.7,4.55,33.3,0.09,0.26,0.16
2019-eng Premier League-Tottenham,2019,eng Premier League,Tottenham,1.74,14.1,4.92,34.8,0.12,0.33,0.11
2019-fr Ligue 1-Toulouse,2019,fr Ligue 1,Toulouse,0.92,11.1,3.11,28,0.07,0.24,0.29
2019-it Serie A-Udinese,2019,it Serie A,Udinese,1,12.1,3.11,25.6,0.08,0.3,0.21
2019-es La Liga-Valencia,2019,es La Liga,Valencia,1.32,12.2,4.05,33.2,0.1,0.29,0.18
2019-es La Liga-Valladolid,2019,es La Liga,Valladolid,0.82,10.7,3.37,31.4,0.07,0.21,0.18
2019-es La Liga-Villarreal,2019,es La Liga,Villarreal,1.24,12.7,4.37,34.5,0.09,0.27,0.16
2019-eng Premier League-Watford,2019,eng Premier League,Watford,1.34,11.4,3.87,33.9,0.12,0.34,0.03
2019-de Bundesliga-Werder Bremen,2019,de Bundesliga,Werder Bremen,1.68,13.3,5.03,37.7,0.12,0.31,0.12
2019-eng Premier League-West Ham,2019,eng Premier League,West Ham,1.34,11.5,3.89,33.8,0.11,0.31,0.13
2019-de Bundesliga-Wolfsburg,2019,de Bundesliga,Wolfsburg,1.74,12,4.62,38.4,0.13,0.34,0.15
2019-eng Premier League-Wolves,2019,eng Premier League,Wolves,1.21,12.4,3.68,29.7,0.09,0.3,0.11
