Key,Year,Competition,Squad,O. Gls,O. Sh,O. SoT,O. SoT%,O. G/Sh,O. G/SoT,O. PKatt
2020-it Serie A-Torino,2020,it Serie A,Torino,1.71,16,5.24,32.7,0.09,0.28,0.29
2020-eng Premier League-Tottenham,2020,eng Premier League,Tottenham,1.18,14,4.53,32.4,0.08,0.23,0.18
2020-fr Ligue 1-Toulouse,2020,fr Ligue 1,Toulouse,2.04,14.6,5,34.3,0.13,0.39,0.18
2020-it Serie A-Udinese,2020,it Serie A,Udinese,1.34,15.3,4.89,32,0.07,0.23,0.26
2020-de Bundesliga-Union Berlin,2020,de Bundesliga,Union Berlin,1.68,14.3,4.94,34.5,0.11,0.32,0.12
2020-es La Liga-Valencia,2020,es La Liga,Valencia,1.37,14.7,4.79,32.6,0.08,0.25,0.24
2020-es La Liga-Valladolid,2020,es La Liga,Valladolid,1.13,12,3.53,29.5,0.08,0.27,0.21
2020-es La Liga-Villarreal,2020,es La Liga,Villarreal,1.24,12.3,4.18,34,0.08,0.25,0.24
2020-eng Premier League-Watford,2020,eng Premier League,Watford,1.61,12.8,4.37,34,0.11,0.32,0.24
2020-de Bundesliga-Werder Bremen,2020,de Bundesliga,Werder Bremen,1.94,14.4,5.15,35.6,0.13,0.37,0.03
2020-eng Premier League-West Ham,2020,eng Premier League,West Ham,1.55,13,4.68,36.1,0.11,0.3,0.16
2020-de Bundesliga-Wolfsburg,2020,de Bundesliga,Wolfsburg,1.35,11.1,4.12,37.2,0.11,0.29,0.15
2020-eng Premier League-Wolves,2020,eng Premier League,Wolves,1.03,10.3,3.16,30.5,0.1,0.32,0.08
2019-es La Liga-Alavés,2019,es La Liga,Alavés,1.26,12.9,4.18,32.3,0.09,0.26,0.16
2019-fr Ligue 1-Amiens,2019,fr Ligue 1,Amiens,1.32,13.1,4.08,31.1,0.09,0.28,0.24
2019-fr Ligue 1-Angers,2019,fr Ligue 1,Angers,1.24,12.2,4.21,34.6,0.1,0.28,0.13
