Country,Player,Age,MP,Starts,Minutes,fullgmsplayed,Gls,Ast,G_PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G_A_90,G_PK_90,G_A_PK_90
Australia,Awer Mabil,26,1,0,52,0.60,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Australia,Jamie Maclaren,28,1,0,35,0.40,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Australia,Fran Karacic,25,1,0,30,0.30,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Australia,Craig Goodwin,30,1,0,1,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Australia,Andrew Redmayne,33,1,0,1,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Australia,Squad Total,28,1,11,120,1.30,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Australia,Opponent Total,30,1,11,120,1.30,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Belgium,Jason Denayer,26,7,6,540,6.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Belgium,Toby Alderweireld,32,6,6,532,5.90,0,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17
Belgium,Thibaut Courtois,29,5,5,450,5.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Belgium,Hans Vanaken,29,5,5,440,4.90,3,4,3,0,0,0,0,0.61,0.82,1.43,0.61,1.43
Belgium,Jan Vertonghen,34,6,5,429,4.80,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Belgium,Timothy Castagne,26,6,5,426,4.70,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Belgium,Youri Tielemans,24,5,4,370,4.10,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Belgium,Axel Witsel,33,4,4,360,4.00,1,0,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25
Belgium,Kevin De Bruyne,30,4,4,352,3.90,2,2,2,0,0,0,0,0.51,0.51,1.02,0.51,1.02
Belgium,Romelu Lukaku,28,4,4,333,3.70,5,1,4,1,1,2,0,1.35,0.27,1.62,1.08,1.35
Belgium,Thomas Meunier,30,4,4,325,3.60,0,2,0,0,0,0,0,0.00,0.55,0.55,0.00,0.55
