Match,Squad1Key,Squad2Key,Group,Stage,Squad1,S1%,Squad1Seed,Squad2,S2%,Squad2Seed,S1_Prob,S1_wins,Simulation,MatchWinner
49,Knockout Round,Knockout Round,R16,Knockout,Senegal,0.768105259185267,1A,United States,0.683675221341859,2B,0.605140271017666,0,270,United States
49,Knockout Round,Knockout Round,R16,Knockout,Netherlands,0.847292970427077,1A,United States,0.683675221341859,2B,0.719667270680257,0,272,United States
49,Knockout Round,Knockout Round,R16,Knockout,Netherlands,0.847292970427077,1A,United States,0.683675221341859,2B,0.719667270680257,0,277,United States
52,Knockout Round,Knockout Round,R16,Knockout,United States,0.683675221341859,1B,Senegal,0.768105259185267,2A,0.394859728982334,1,291,United States
49,Knockout Round,Knockout Round,R16,Knockout,Senegal,0.768105259185267,1A,United States,0.683675221341859,2B,0.605140271017666,0,300,United States
49,Knockout Round,Knockout Round,R16,Knockout,Senegal,0.768105259185267,1A,United States,0.683675221341859,2B,0.605140271017666,0,316,United States
52,Knockout Round,Knockout Round,R16,Knockout,United States,0.683675221341859,1B,Senegal,0.768105259185267,2A,0.394859728982334,1,318,United States
49,Knockout Round,Knockout Round,R16,Knockout,Netherlands,0.847292970427077,1A,United States,0.683675221341859,2B,0.719667270680257,0,324,United States
49,Knockout Round,Knockout Round,R16,Knockout,Netherlands,0.847292970427077,1A,United States,0.683675221341859,2B,0.719667270680257,0,340,United States
49,Knockout Round,Knockout Round,R16,Knockout,Ecuador,0.503238303432919,1A,United States,0.683675221341859,2B,0.319132765588613,0,341,United States
49,Knockout Round,Knockout Round,R16,Knockout,Netherlands,0.847292970427077,1A,United States,0.683675221341859,2B,0.719667270680257,0,342,United States
49,Knockout Round,Knockout Round,R16,Knockout,Netherlands,0.847292970427077,1A,United States,0.683675221341859,2B,0.719667270680257,0,357,United States
49,Knockout Round,Knockout Round,R16,Knockout,Senegal,0.768105259185267,1A,United States,0.683675221341859,2B,0.605140271017666,0,360,United States
49,Knockout Round,Knockout Round,R16,Knockout,Netherlands,0.847292970427077,1A,United States,0.683675221341859,2B,0.719667270680257,0,367,United States
49,Knockout Round,Knockout Round,R16,Knockout,Netherlands,0.847292970427077,1A,United States,0.683675221341859,2B,0.719667270680257,0,371,United States
52,Knockout Round,Knockout Round,R16,Knockout,United States,0.683675221341859,1B,Senegal,0.768105259185267,2A,0.394859728982334,1,372,United States
49,Knockout Round,Knockout Round,R16,Knockout,Netherlands,0.847292970427077,1A,United States,0.683675221341859,2B,0.719667270680257,0,376,United States
52,Knockout Round,Knockout Round,R16,Knockout,United States,0.683675221341859,1B,Ecuador,0.503238303432919,2A,0.680867234411387,1,378,United States
49,Knockout Round,Knockout Round,R16,Knockout,Senegal,0.768105259185267,1A,United States,0.683675221341859,2B,0.605140271017666,0,380,United States
49,Knockout Round,Knockout Round,R16,Knockout,Netherlands,0.847292970427077,1A,United States,0.683675221341859,2B,0.719667270680257,0,394,United States
49,Knockout Round,Knockout Round,R16,Knockout,Netherlands,0.847292970427077,1A,United States,0.683675221341859,2B,0.719667270680257,0,395,United States
49,Knockout Round,Knockout Round,R16,Knockout,Senegal,0.768105259185267,1A,United States,0.683675221341859,2B,0.605140271017666,0,418,United States
52,Knockout Round,Knockout Round,R16,Knockout,United States,0.683675221341859,1B,Qatar,0.60108896961729,2A,0.589212044111287,1,422,United States
