Match,Squad1Key,Squad2Key,Group,Stage,Squad1,S1%,Squad1Seed,Squad2,S2%,Squad2Seed,S1_Prob,S1_wins,Simulation,MatchWinner
60,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M52,France,0.780360381500851,M51,0.378233187547771,1,6,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Tunisia,0.649052672398922,M50,0.538880296389371,1,24,United States
60,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M52,France,0.780360381500851,M51,0.378233187547771,1,29,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Australia,0.669404229689161,M50,0.516299672298341,1,46,United States
60,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M52,Tunisia,0.649052672398922,M51,0.538880296389371,1,47,United States
60,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M52,Poland,0.639776689326929,M51,0.548922591427222,1,55,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Tunisia,0.649052672398922,M50,0.538880296389371,1,63,United States
60,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M52,Denmark,0.778587101918141,M51,0.380662293634647,1,106,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Argentina,0.713176936529532,M50,0.465019611441133,1,119,United States
60,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M52,Saudi Arabia,0.626644955423917,M51,0.56288111197931,1,123,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Denmark,0.778587101918141,M50,0.380662293634647,1,134,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Mexico,0.756756710226366,M50,0.409927241607884,1,151,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,France,0.780360381500851,M50,0.378233187547771,1,165,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Australia,0.669404229689161,M50,0.516299672298341,1,184,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Denmark,0.778587101918141,M50,0.380662293634647,1,230,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Australia,0.669404229689161,M50,0.516299672298341,1,238,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Argentina,0.713176936529532,M50,0.465019611441133,1,270,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Australia,0.669404229689161,M50,0.516299672298341,1,277,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Tunisia,0.649052672398922,M50,0.538880296389371,1,316,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Argentina,0.713176936529532,M50,0.465019611441133,1,324,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Denmark,0.778587101918141,M50,0.380662293634647,1,341,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Denmark,0.778587101918141,M50,0.380662293634647,1,357,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Argentina,0.713176936529532,M50,0.465019611441133,1,367,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Denmark,0.778587101918141,M50,0.380662293634647,1,395,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Tunisia,0.649052672398922,M50,0.538880296389371,1,418,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Australia,0.669404229689161,M50,0.516299672298341,1,444,United States
60,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M52,France,0.780360381500851,M51,0.378233187547771,1,458,United States
58,Knockout Round,Knockout Round,R8,Knockout,United States,0.683675221341859,M49,Saudi Arabia,0.626644955423917,M50,0.56288111197931,1,460,United States
