Key,Year,Competition,Squad,O. Age,O. Poss,MP,O. Gls,O. Sh,O. SoT,O. SoT%,O. G/Sh,O. G/SoT,O. PKatt,O. CrdY,O. CrdR,O. Fld,O. Int,O. TklW
2022-es La Liga-Getafe,2022,es La Liga,Getafe,27.8,58.8,38,1.05,10.8,3.42,31.8,0.09,0.29,0.11,2.89,0.11,15.9,10.4,9.29
2022-es La Liga-Granada,2022,es La Liga,Granada,27.6,55.4,38,1.55,14.8,4.84,32.7,0.09,0.28,0.24,2.66,0.24,13.8,11.6,10.3
2022-de Bundesliga-Greuther Fürth,2022,de Bundesliga,Greuther Fürth,26.3,56.6,34,2.26,14.8,5.35,36.1,0.14,0.39,0.18,1.44,0.06,14.1,14.7,11.9
2022-it Serie A-Hellas Verona,2022,it Serie A,Hellas Verona,26.8,49.4,38,1.5,12.5,4.11,32.9,0.11,0.35,0.11,1.95,0.08,15.2,16.9,11.9
2022-de Bundesliga-Hertha BSC,2022,de Bundesliga,Hertha BSC,26.2,56.5,34,2.09,13.4,4.82,35.9,0.14,0.38,0.24,1.38,0.0,13.2,15.1,12.2
2022-de Bundesliga-Hoffenheim,2022,de Bundesliga,Hoffenheim,26.3,46.4,34,1.74,12.4,4.74,38.2,0.14,0.35,0.12,1.38,0.09,13.3,17.8,9.79
2022-it Serie A-Inter,2022,it Serie A,Inter,26.7,43.4,38,0.82,10.5,3.26,31.0,0.07,0.22,0.11,2.08,0.13,12.7,15.8,8.71
2022-it Serie A-Juventus,2022,it Serie A,Juventus,26.8,48.3,38,0.95,11.7,3.11,26.6,0.07,0.27,0.18,2.47,0.11,13.9,14.2,10.7
2022-de Bundesliga-Köln,2022,de Bundesliga,Köln,26.0,44.9,34,1.38,12.8,4.44,34.7,0.11,0.31,0.03,1.91,0.0,13.2,16.7,10.6
2022-it Serie A-Lazio,2022,it Serie A,Lazio,26.5,44.4,38,1.5,12.4,3.76,30.4,0.11,0.36,0.16,2.63,0.18,12.0,15.8,10.0
2022-eng Premier League-Leeds United,2022,eng Premier League,Leeds United,26.9,47.5,38,2.05,15.1,5.76,38.1,0.13,0.33,0.13,1.95,0.08,14.9,17.6,10.9
2022-eng Premier League-Leicester City,2022,eng Premier League,Leicester City,26.8,47.9,38,1.53,14.6,4.76,32.6,0.09,0.28,0.24,1.58,0.0,11.7,16.9,10.5
2022-fr Ligue 1-Lens,2022,fr Ligue 1,Lens,25.9,49.2,38,1.26,10.8,3.58,33.3,0.11,0.32,0.13,2.21,0.18,11.7,17.4,10.9
2022-es La Liga-Levante,2022,es La Liga,Levante,27.4,53.1,38,2.0,13.4,5.16,38.4,0.14,0.36,0.16,2.74,0.13,16.1,14.3,11.7
2022-de Bundesliga-Leverkusen,2022,de Bundesliga,Leverkusen,26.3,46.1,34,1.35,13.4,4.74,35.3,0.1,0.27,0.12,1.47,0.03,11.4,18.3,12.6
2022-fr Ligue 1-Lille,2022,fr Ligue 1,Lille,25.8,49.2,38,1.21,11.7,3.95,33.6,0.09,0.27,0.16,2.26,0.21,12.4,17.1,11.7
2022-eng Premier League-Liverpool,2022,eng Premier League,Liverpool,26.7,36.7,38,0.66,7.95,2.76,34.8,0.08,0.24,0.0,1.66,0.08,10.8,19.3,10.9
2022-fr Ligue 1-Lorient,2022,fr Ligue 1,Lorient,26.0,55.7,38,1.58,12.2,3.82,31.4,0.12,0.38,0.16,1.89,0.26,13.2,15.2,11.1
2022-fr Ligue 1-Lyon,2022,fr Ligue 1,Lyon,26.0,41.2,38,1.26,12.1,4.39,36.3,0.09,0.25,0.21,1.66,0.0,11.5,17.9,13.3
2022-de Bundesliga-M'Gladbach,2022,de Bundesliga,M'Gladbach,26.2,45.6,34,1.76,14.0,5.24,37.3,0.12,0.32,0.15,2.15,0.12,11.3,16.6,12.3
2022-de Bundesliga-Mainz 05,2022,de Bundesliga,Mainz 05,26.2,53.7,34,1.29,11.2,3.5,31.2,0.1,0.33,0.18,2.03,0.0,15.3,16.0,10.2
2022-es La Liga-Mallorca,2022,es La Liga,Mallorca,27.7,54.9,38,1.55,12.2,3.76,30.9,0.11,0.37,0.21,3.0,0.16,16.1,11.9,11.4
2022-eng Premier League-Manchester City,2022,eng Premier League,Manchester City,26.9,31.5,38,0.68,6.29,2.24,35.6,0.1,0.29,0.03,1.79,0.08,9.47,15.7,11.2
2022-eng Premier League-Manchester Utd,2022,eng Premier League,Manchester Utd,27.0,47.1,38,1.42,13.3,4.66,34.9,0.1,0.29,0.13,1.26,0.03,12.2,18.2,11.0
2022-fr Ligue 1-Marseille,2022,fr Ligue 1,Marseille,25.8,38.0,38,0.97,8.66,2.82,32.5,0.1,0.31,0.11,2.21,0.18,9.74,15.6,11.4
2022-fr Ligue 1-Metz,2022,fr Ligue 1,Metz,26.1,57.2,38,1.76,14.8,4.55,30.8,0.11,0.36,0.13,1.76,0.05,14.3,14.7,11.8
2022-it Serie A-Milan,2022,it Serie A,Milan,27.0,45.8,38,0.76,10.6,3.21,30.3,0.06,0.2,0.13,2.39,0.16,13.0,14.8,11.1
2022-fr Ligue 1-Monaco,2022,fr Ligue 1,Monaco,25.9,45.8,38,0.97,10.8,3.55,32.8,0.07,0.21,0.24,1.74,0.05,13.7,18.7,11.2
2022-fr Ligue 1-Montpellier,2022,fr Ligue 1,Montpellier,26.0,51.9,38,1.58,15.7,5.42,34.4,0.09,0.27,0.16,2.29,0.11,11.7,15.7,12.2
2022-fr Ligue 1-Nantes,2022,fr Ligue 1,Nantes,25.8,56.3,38,1.24,12.4,3.95,31.8,0.09,0.29,0.18,1.61,0.24,13.4,14.7,10.9
2022-it Serie A-Napoli,2022,it Serie A,Napoli,26.6,41.5,38,0.79,11.0,3.53,32.1,0.07,0.22,0.03,2.66,0.24,12.0,17.0,9.71
2022-eng Premier League-Newcastle Utd,2022,eng Premier League,Newcastle Utd,26.8,60.1,38,1.58,13.9,4.26,30.7,0.1,0.34,0.16,1.97,0.08,12.7,11.3,10.9
2022-fr Ligue 1-Nice,2022,fr Ligue 1,Nice,26.0,48.4,38,0.95,11.3,3.76,33.3,0.07,0.22,0.13,1.55,0.08,12.7,15.4,11.7
2022-eng Premier League-Norwich City,2022,eng Premier League,Norwich City,26.8,57.5,38,2.16,16.4,5.58,34.1,0.12,0.34,0.32,1.63,0.05,12.1,14.2,9.79
2022-es La Liga-Osasuna,2022,es La Liga,Osasuna,27.6,53.3,38,1.29,11.6,3.68,31.8,0.1,0.32,0.18,1.92,0.03,14.6,14.3,8.79
2022-fr Ligue 1-Paris S-G,2022,fr Ligue 1,Paris S-G,25.7,36.6,38,0.92,10.8,3.66,33.9,0.08,0.23,0.08,1.95,0.13,9.82,19.1,13.0
2022-es La Liga-Rayo Vallecano,2022,es La Liga,Rayo Vallecano,27.6,50.1,38,1.29,10.8,4.03,37.2,0.1,0.27,0.24,2.89,0.08,15.8,14.2,11.6
