Key,Year,Competition,Squad,O. Age,O. Poss,MP,O. Gls,O. Sh,O. SoT,O. SoT%,O. G/Sh,O. G/SoT,O. PKatt,O. CrdY,O. CrdR,O. Fld,O. Int,O. TklW
2021-fr Ligue 1-Lyon,2021,fr Ligue 1,Lyon,26.3,45.1,38,1.08,11.4,3.42,29.9,0.08,0.28,0.18,2.03,0.21,12.8,13.4,11.9
2021-de Bundesliga-M'Gladbach,2021,de Bundesliga,M'Gladbach,25.6,48.1,34,1.65,13.3,4.21,31.6,0.11,0.35,0.18,2.21,0.09,12.5,13.3,10.1
2021-de Bundesliga-Mainz 05,2021,de Bundesliga,Mainz 05,25.9,59.5,34,1.62,13.2,4.56,34.5,0.11,0.32,0.21,2.15,0.12,15.2,11.3,9.24
2021-eng Premier League-Manchester City,2021,eng Premier League,Manchester City,26.4,36.1,38,0.82,7.24,2.34,32.4,0.08,0.26,0.26,1.61,0.05,10.6,11.2,12.1
2021-eng Premier League-Manchester Utd,2021,eng Premier League,Manchester Utd,26.6,44.2,38,1.11,11.2,3.55,31.8,0.09,0.28,0.11,1.68,0.08,13.6,14.5,11.8
2021-fr Ligue 1-Marseille,2021,fr Ligue 1,Marseille,25.8,46.1,38,1.21,11.6,3.45,29.6,0.1,0.33,0.08,2.13,0.16,14.1,11.5,10.8
2021-fr Ligue 1-Metz,2021,fr Ligue 1,Metz,26.3,54.7,38,1.21,12.2,3.61,29.5,0.07,0.25,0.34,2.0,0.16,14.0,9.42,12.9
2021-it Serie A-Milan,2021,it Serie A,Milan,27.4,48.1,38,1.05,12.2,3.45,28.3,0.08,0.28,0.13,2.18,0.11,14.4,11.2,9.82
2021-fr Ligue 1-Monaco,2021,fr Ligue 1,Monaco,26.2,44.0,38,1.08,8.47,2.47,29.2,0.11,0.38,0.13,2.34,0.32,13.2,11.3,11.8
2021-fr Ligue 1-Montpellier,2021,fr Ligue 1,Montpellier,25.9,54.7,38,1.58,14.4,4.92,34.2,0.09,0.26,0.32,2.08,0.11,14.1,9.13,10.9
2021-fr Ligue 1-Nantes,2021,fr Ligue 1,Nantes,26.0,56.3,40,1.42,11.9,4.16,34.8,0.1,0.28,0.32,2.32,0.08,13.9,10.1,12.5
2021-it Serie A-Napoli,2021,it Serie A,Napoli,27.1,44.8,38,1.05,10.2,3.11,30.5,0.09,0.3,0.13,2.82,0.16,11.2,12.6,9.11
2021-eng Premier League-Newcastle Utd,2021,eng Premier League,Newcastle Utd,26.6,61.8,38,1.55,15.0,4.71,31.3,0.1,0.31,0.13,1.58,0.08,11.9,9.16,9.76
2021-fr Ligue 1-Nice,2021,fr Ligue 1,Nice,26.1,45.5,38,1.39,13.1,4.39,33.5,0.09,0.28,0.18,1.74,0.03,12.4,12.3,12.7
2021-fr Ligue 1-Nîmes,2021,fr Ligue 1,Nîmes,25.9,55.6,38,1.87,13.4,5.05,37.7,0.13,0.34,0.26,2.29,0.24,11.4,10.0,11.7
2021-es La Liga-Osasuna,2021,es La Liga,Osasuna,27.4,56.9,38,1.18,11.1,3.66,33.1,0.1,0.29,0.21,1.71,0.0,15.3,9.61,9.47
2021-fr Ligue 1-Paris S-G,2021,fr Ligue 1,Paris S-G,25.9,36.5,38,0.71,10.0,3.37,33.7,0.07,0.2,0.05,1.55,0.24,12.6,14.1,13.2
2021-it Serie A-Parma,2021,it Serie A,Parma,27.1,52.3,38,2.11,13.8,4.89,35.4,0.15,0.41,0.08,1.87,0.03,15.2,9.61,9.45
2021-de Bundesliga-RB Leipzig,2021,de Bundesliga,RB Leipzig,26.1,40.0,34,0.94,7.71,2.38,30.9,0.11,0.36,0.09,1.88,0.06,13.3,14.8,11.7
2021-es La Liga-Real Madrid,2021,es La Liga,Real Madrid,27.5,40.3,38,0.71,9.16,2.92,31.9,0.06,0.18,0.21,2.29,0.08,11.6,9.95,10.1
2021-es La Liga-Real Sociedad,2021,es La Liga,Real Sociedad,27.4,44.9,38,0.97,8.71,2.63,30.2,0.1,0.34,0.13,2.39,0.16,15.4,9.76,9.53
2021-fr Ligue 1-Reims,2021,fr Ligue 1,Reims,26.0,55.2,38,1.29,13.3,4.26,32.0,0.09,0.27,0.21,1.53,0.08,12.4,11.2,10.8
2021-fr Ligue 1-Rennes,2021,fr Ligue 1,Rennes,26.1,40.5,38,1.05,9.66,3.37,34.9,0.1,0.29,0.11,1.84,0.16,13.8,12.8,11.0
2021-it Serie A-Roma,2021,it Serie A,Roma,27.3,47.5,38,1.37,10.3,4.24,41.2,0.12,0.29,0.16,2.11,0.16,15.7,12.1,9.08
2021-fr Ligue 1-Saint-Étienne,2021,fr Ligue 1,Saint-Étienne,25.8,51.7,38,1.37,10.6,3.37,31.7,0.11,0.36,0.24,2.03,0.03,14.0,10.4,13.1
2021-it Serie A-Sampdoria,2021,it Serie A,Sampdoria,27.1,54.9,38,1.39,13.5,4.37,32.4,0.09,0.28,0.24,2.03,0.03,14.4,11.2,8.32
2021-it Serie A-Sassuolo,2021,it Serie A,Sassuolo,27.2,39.2,38,1.45,13.8,4.76,34.5,0.1,0.28,0.13,2.16,0.11,14.2,11.0,10.7
2021-de Bundesliga-Schalke 04,2021,de Bundesliga,Schalke 04,26.0,55.4,34,2.38,17.2,6.68,38.9,0.13,0.33,0.24,1.74,0.06,13.1,11.2,12.3
2021-es La Liga-Sevilla,2021,es La Liga,Sevilla,27.3,38.8,38,0.82,9.05,3.0,33.1,0.08,0.24,0.16,2.87,0.03,13.9,10.1,9.34
2021-eng Premier League-Sheffield Utd,2021,eng Premier League,Sheffield Utd,26.7,58.5,38,1.58,14.2,5.39,37.9,0.11,0.28,0.11,1.03,0.03,15.3,8.26,9.5
2021-eng Premier League-Southampton,2021,eng Premier League,Southampton,26.5,47.8,38,1.76,11.1,4.45,40.1,0.14,0.35,0.24,1.53,0.08,12.7,11.5,11.6
2021-it Serie A-Spezia,2021,it Serie A,Spezia,27.3,47.8,38,1.89,11.0,4.45,40.3,0.15,0.37,0.26,2.18,0.08,16.1,11.6,8.37
2021-fr Ligue 1-Strasbourg,2021,fr Ligue 1,Strasbourg,26.1,54.4,38,1.5,9.92,3.87,39.0,0.14,0.35,0.21,1.79,0.05,13.3,9.76,9.63
2021-de Bundesliga-Stuttgart,2021,de Bundesliga,Stuttgart,26.1,48.5,34,1.59,13.4,4.82,36.0,0.11,0.3,0.21,2.03,0.09,13.0,13.4,13.7
2021-it Serie A-Torino,2021,it Serie A,Torino,27.1,52.8,38,1.79,13.0,3.97,30.6,0.12,0.39,0.26,2.66,0.16,16.5,8.66,9.87
2021-eng Premier League-Tottenham,2021,eng Premier League,Tottenham,26.5,48.3,38,1.11,12.6,3.79,30.2,0.07,0.22,0.26,2.03,0.03,13.3,12.2,12.1
2021-it Serie A-Udinese,2021,it Serie A,Udinese,27.1,53.9,38,1.53,11.8,3.95,33.5,0.1,0.29,0.37,2.21,0.11,14.5,11.7,10.2
2021-de Bundesliga-Union Berlin,2021,de Bundesliga,Union Berlin,26.0,55.1,34,1.21,10.7,3.76,35.3,0.1,0.29,0.15,1.88,0.06,13.9,11.1,9.15
2021-es La Liga-Valencia,2021,es La Liga,Valencia,27.6,53.1,38,1.34,14.1,4.45,31.6,0.09,0.27,0.21,2.61,0.13,13.2,9.08,9.68
2021-es La Liga-Valladolid,2021,es La Liga,Valladolid,27.4,54.9,38,1.5,12.3,4.08,33.2,0.11,0.33,0.18,2.53,0.05,14.3,9.74,9.89
2021-es La Liga-Villarreal,2021,es La Liga,Villarreal,27.5,44.4,38,1.11,10.7,3.21,30.0,0.09,0.29,0.24,2.05,0.11,12.3,10.4,10.5
2021-de Bundesliga-Werder Bremen,2021,de Bundesliga,Werder Bremen,26.0,56.2,34,1.59,13.4,4.41,33.0,0.11,0.33,0.18,2.0,0.09,12.7,12.3,9.26
2021-eng Premier League-West Brom,2021,eng Premier League,West Brom,26.6,62.4,38,1.92,15.6,6.18,39.8,0.11,0.28,0.29,1.32,0.03,12.7,8.74,10.7
2021-eng Premier League-West Ham,2021,eng Premier League,West Ham,26.6,57.1,38,1.13,12.1,3.76,31.2,0.09,0.28,0.13,1.37,0.03,11.4,10.3,8.74
2021-de Bundesliga-Wolfsburg,2021,de Bundesliga,Wolfsburg,26.1,48.6,34,1.06,10.5,3.38,32.3,0.09,0.29,0.15,1.79,0.06,13.7,12.6,10.4
2021-eng Premier League-Wolves,2021,eng Premier League,Wolves,26.6,50.7,38,1.29,11.5,3.79,33.0,0.1,0.29,0.21,1.63,0.16,12.6,9.87,9.76
2020-es La Liga-Alavés,2020,es La Liga,Alavés,27.3,58.9,38,1.55,11.9,3.87,32.5,0.1,0.32,0.39,2.29,0.08,16.9,5.63,9.29
2020-fr Ligue 1-Amiens,2020,fr Ligue 1,Amiens,26.0,54.5,28,1.75,14.6,5.0,34.3,0.12,0.34,0.04,1.54,0.04,14.4,8.11,13.0
2020-fr Ligue 1-Angers,2020,fr Ligue 1,Angers,26.2,54.9,28,1.14,9.5,3.04,32.0,0.11,0.34,0.11,1.68,0.0,11.6,9.11,11.5
2020-eng Premier League-Arsenal,2020,eng Premier League,Arsenal,26.6,46.0,38,1.26,14.3,4.97,34.7,0.08,0.22,0.21,2.08,0.03,12.8,7.0,10.5
2020-eng Premier League-Aston Villa,2020,eng Premier League,Aston Villa,26.6,56.1,38,1.74,15.8,4.61,29.1,0.1,0.35,0.16,2.37,0.18,13.3,5.87,9.24
2020-it Serie A-Atalanta,2020,it Serie A,Atalanta,27.0,42.2,38,1.21,10.9,3.5,32.0,0.1,0.3,0.16,2.79,0.18,14.7,7.34,11.6
2020-es La Liga-Athletic Club,2020,es La Liga,Athletic Club,27.1,51.3,38,0.95,10.1,3.18,31.4,0.08,0.26,0.18,2.34,0.0,15.0,5.76,9.5
2020-es La Liga-Atlético Madrid,2020,es La Liga,Atlético Madrid,27.4,51.5,38,0.63,10.6,2.79,26.3,0.05,0.2,0.11,2.97,0.11,14.5,6.05,9.95
2020-de Bundesliga-Augsburg,2020,de Bundesliga,Augsburg,25.9,61.9,34,1.76,13.9,4.62,33.1,0.13,0.38,0.03,1.88,0.09,11.6,6.59,10.8
2020-es La Liga-Barcelona,2020,es La Liga,Barcelona,27.0,33.1,38,0.97,9.53,2.97,31.2,0.09,0.27,0.18,2.34,0.11,11.6,11.3,10.6
2020-de Bundesliga-Bayern Munich,2020,de Bundesliga,Bayern Munich,26.0,34.4,34,0.91,9.18,3.35,36.5,0.09,0.25,0.12,1.68,0.09,9.5,10.7,12.1
2020-es La Liga-Betis,2020,es La Liga,Betis,27.0,42.9,38,1.55,11.3,3.79,33.5,0.11,0.33,0.29,2.92,0.13,13.3,6.05,10.0
2020-it Serie A-Bologna,2020,it Serie A,Bologna,26.9,47.1,38,1.68,14.0,4.79,34.3,0.11,0.32,0.21,2.74,0.18,16.7,7.45,12.0
2020-fr Ligue 1-Bordeaux,2020,fr Ligue 1,Bordeaux,25.9,46.1,28,1.18,12.7,3.79,29.9,0.09,0.29,0.11,2.32,0.29,13.6,8.29,12.9
2020-eng Premier League-Bournemouth,2020,eng Premier League,Bournemouth,26.8,56.2,38,1.71,14.4,4.79,33.3,0.11,0.33,0.16,1.76,0.08,11.0,6.71,10.8
2020-it Serie A-Brescia,2020,it Serie A,Brescia,27.1,59.7,38,2.0,18.1,6.0,33.1,0.1,0.29,0.29,2.79,0.05,13.3,7.18,9.68
2020-fr Ligue 1-Brest,2020,fr Ligue 1,Brest,26.2,50.3,28,1.32,14.5,4.93,34.0,0.08,0.24,0.21,1.43,0.04,11.9,8.39,11.4
2020-eng Premier League-Brighton,2020,eng Premier League,Brighton,26.5,47.8,38,1.37,13.1,4.32,33.0,0.1,0.3,0.05,1.61,0.03,12.0,8.32,11.5
2020-eng Premier League-Burnley,2020,eng Premier League,Burnley,26.5,58.6,38,1.29,14.1,4.18,29.7,0.08,0.28,0.13,1.11,0.08,13.0,4.89,8.76
2020-it Serie A-Cagliari,2020,it Serie A,Cagliari,27.0,54.5,38,1.39,15.9,4.84,30.4,0.08,0.25,0.24,2.0,0.16,14.4,6.18,9.82
2020-es La Liga-Celta Vigo,2020,es La Liga,Celta Vigo,27.2,48.1,38,1.29,11.5,3.71,32.2,0.1,0.31,0.13,3.13,0.13,13.5,6.53,10.7
2020-eng Premier League-Chelsea,2020,eng Premier League,Chelsea,26.4,39.3,38,1.34,8.32,3.03,36.4,0.16,0.43,0.05,2.0,0.08,11.2,7.37,11.3
2020-eng Premier League-Crystal Palace,2020,eng Premier League,Crystal Palace,26.5,55.5,38,1.26,13.3,4.45,33.3,0.09,0.28,0.03,2.32,0.13,12.7,7.5,12.1
2020-fr Ligue 1-Dijon,2020,fr Ligue 1,Dijon,26.1,53.5,28,1.25,14.1,4.61,32.6,0.09,0.26,0.04,1.57,0.11,13.2,8.39,14.9
2020-de Bundesliga-Dortmund,2020,de Bundesliga,Dortmund,26.2,39.0,34,1.12,10.2,2.94,28.7,0.1,0.35,0.09,1.56,0.03,9.53,11.1,13.4
2020-de Bundesliga-Düsseldorf,2020,de Bundesliga,Düsseldorf,26.1,54.6,34,1.85,13.4,5.03,37.5,0.13,0.35,0.15,1.88,0.15,12.8,7.09,9.91
2020-es La Liga-Eibar,2020,es La Liga,Eibar,27.0,53.7,38,1.45,9.74,3.34,34.3,0.14,0.4,0.16,1.84,0.05,13.9,4.63,9.21
2020-de Bundesliga-Eint Frankfurt,2020,de Bundesliga,Eint Frankfurt,25.8,49.0,34,1.71,12.9,5.06,39.2,0.13,0.32,0.09,1.97,0.18,13.1,7.82,10.4
2020-es La Liga-Espanyol,2020,es La Liga,Espanyol,27.3,52.7,38,1.47,11.4,4.13,36.3,0.12,0.32,0.18,1.97,0.16,16.4,5.45,9.21
2020-eng Premier League-Everton,2020,eng Premier League,Everton,26.6,50.8,38,1.39,11.2,3.82,34.0,0.12,0.34,0.11,1.61,0.05,13.6,7.03,11.2
2020-it Serie A-Fiorentina,2020,it Serie A,Fiorentina,27.1,52.7,38,1.26,11.4,3.95,34.7,0.09,0.26,0.29,2.5,0.08,15.7,6.39,11.5
2020-de Bundesliga-Freiburg,2020,de Bundesliga,Freiburg,26.0,52.1,34,1.38,17.7,5.53,31.3,0.07,0.23,0.12,2.18,0.18,10.6,6.68,10.5
2020-it Serie A-Genoa,2020,it Serie A,Genoa,26.9,50.5,38,1.87,15.3,4.95,32.2,0.11,0.34,0.24,2.53,0.21,15.7,6.18,10.7
2020-es La Liga-Getafe,2020,es La Liga,Getafe,27.2,55.4,38,0.95,7.29,2.68,36.8,0.11,0.3,0.16,3.21,0.29,18.8,5.53,8.89
2020-es La Liga-Granada,2020,es La Liga,Granada,27.4,56.3,38,1.18,11.6,3.92,33.9,0.09,0.28,0.13,3.05,0.18,16.8,5.29,8.79
2020-it Serie A-Hellas Verona,2020,it Serie A,Hellas Verona,27.0,50.2,38,1.32,15.3,4.24,27.8,0.07,0.25,0.24,2.76,0.21,15.2,6.89,8.87
2020-de Bundesliga-Hertha BSC,2020,de Bundesliga,Hertha BSC,26.1,55.3,34,1.68,13.9,4.76,34.4,0.11,0.31,0.21,1.62,0.09,14.5,6.26,10.4
2020-de Bundesliga-Hoffenheim,2020,de Bundesliga,Hoffenheim,26.1,48.1,34,1.5,14.2,4.79,33.7,0.09,0.28,0.24,2.35,0.15,11.8,6.59,11.3
2020-it Serie A-Inter,2020,it Serie A,Inter,26.8,45.8,38,0.92,11.8,3.0,25.3,0.07,0.28,0.11,2.37,0.11,15.2,8.0,8.95
2020-it Serie A-Juventus,2020,it Serie A,Juventus,26.7,41.7,38,1.13,12.1,4.0,33.2,0.07,0.22,0.32,2.97,0.21,13.5,7.13,9.66
2020-de Bundesliga-Köln,2020,de Bundesliga,Köln,26.0,53.3,34,1.97,13.2,4.47,33.9,0.14,0.41,0.18,1.85,0.12,15.9,7.44,9.18
2020-it Serie A-Lazio,2020,it Serie A,Lazio,26.9,49.5,38,1.08,13.3,3.82,28.6,0.07,0.23,0.24,2.53,0.18,12.9,7.82,9.68
2020-it Serie A-Lecce,2020,it Serie A,Lecce,26.9,55.4,38,2.16,17.9,6.42,35.8,0.1,0.29,0.34,2.26,0.13,13.0,6.66,8.76
2020-es La Liga-Leganés,2020,es La Liga,Leganés,27.2,56.2,38,1.32,8.82,3.5,39.7,0.13,0.33,0.18,2.76,0.13,16.4,5.55,10.4
2020-eng Premier League-Leicester City,2020,eng Premier League,Leicester City,26.6,42.4,38,1.03,9.66,3.32,34.3,0.08,0.25,0.26,1.82,0.08,12.2,7.74,11.2
2020-es La Liga-Levante,2020,es La Liga,Levante,27.2,51.6,38,1.34,14.9,5.55,37.1,0.08,0.23,0.18,2.53,0.03,13.3,5.05,10.0
2020-de Bundesliga-Leverkusen,2020,de Bundesliga,Leverkusen,25.9,36.2,34,1.29,10.9,4.03,36.9,0.11,0.31,0.06,1.88,0.03,11.8,10.5,13.0
2020-fr Ligue 1-Lille,2020,fr Ligue 1,Lille,26.4,47.0,28,0.86,9.64,2.79,28.9,0.07,0.26,0.21,2.04,0.07,13.5,7.21,12.6
2020-eng Premier League-Liverpool,2020,eng Premier League,Liverpool,26.3,36.6,38,0.84,8.95,2.82,31.5,0.09,0.29,0.03,1.24,0.0,9.24,8.34,11.1
2020-fr Ligue 1-Lyon,2020,fr Ligue 1,Lyon,26.1,43.6,28,0.86,11.0,3.43,31.3,0.07,0.23,0.11,1.96,0.25,12.2,8.18,13.3
2020-de Bundesliga-M'Gladbach,2020,de Bundesliga,M'Gladbach,26.0,47.6,34,1.18,13.4,4.47,33.3,0.09,0.26,0.06,2.53,0.09,12.6,9.41,12.1
2020-de Bundesliga-Mainz 05,2020,de Bundesliga,Mainz 05,26.0,56.8,34,1.88,14.5,5.21,35.9,0.12,0.34,0.15,2.18,0.12,14.1,6.74,11.2
2020-es La Liga-Mallorca,2020,es La Liga,Mallorca,27.2,55.4,38,1.66,12.7,4.58,36.2,0.1,0.28,0.42,3.11,0.11,13.9,6.26,11.5
2020-eng Premier League-Manchester City,2020,eng Premier League,Manchester City,26.5,33.1,38,0.89,7.21,2.82,39.1,0.11,0.29,0.08,1.39,0.03,10.2,9.37,10.8
2020-eng Premier League-Manchester Utd,2020,eng Premier League,Manchester Utd,26.7,43.8,38,0.92,10.1,3.29,32.5,0.08,0.26,0.08,2.08,0.05,12.2,9.34,12.2
2020-fr Ligue 1-Marseille,2020,fr Ligue 1,Marseille,26.1,46.0,28,0.96,9.86,3.46,35.1,0.08,0.24,0.18,1.86,0.07,13.4,7.96,11.3
2020-fr Ligue 1-Metz,2020,fr Ligue 1,Metz,26.5,54.7,28,1.25,13.7,4.71,34.5,0.08,0.23,0.14,1.32,0.11,12.5,7.54,13.0
2020-it Serie A-Milan,2020,it Serie A,Milan,27.1,44.9,38,1.18,11.4,3.82,33.3,0.09,0.28,0.26,2.47,0.21,15.0,8.24,11.1
2020-fr Ligue 1-Monaco,2020,fr Ligue 1,Monaco,26.2,49.2,28,1.54,12.9,4.71,36.6,0.1,0.28,0.21,1.64,0.0,12.5,8.71,11.6
2020-fr Ligue 1-Montpellier,2020,fr Ligue 1,Montpellier,26.1,52.4,28,1.14,13.0,4.5,34.5,0.08,0.23,0.18,2.46,0.25,15.1,8.32,11.0
2020-fr Ligue 1-Nantes,2020,fr Ligue 1,Nantes,26.3,51.9,28,1.11,10.6,3.46,32.8,0.09,0.29,0.21,2.04,0.11,13.4,9.18,12.6
2020-it Serie A-Napoli,2020,it Serie A,Napoli,27.0,40.5,38,1.29,10.5,3.39,32.3,0.11,0.33,0.21,2.76,0.05,11.6,7.74,8.95
2020-eng Premier League-Newcastle Utd,2020,eng Premier League,Newcastle Utd,26.5,61.4,38,1.47,14.8,5.0,33.9,0.1,0.28,0.05,1.5,0.05,11.2,6.24,10.1
2020-fr Ligue 1-Nice,2020,fr Ligue 1,Nice,26.1,45.0,28,1.29,13.7,4.82,35.2,0.08,0.23,0.25,2.21,0.32,10.9,8.82,14.2
2020-fr Ligue 1-Nîmes,2020,fr Ligue 1,Nîmes,26.0,55.4,28,1.54,12.1,4.29,35.4,0.12,0.33,0.14,2.86,0.32,12.5,6.14,12.1
2020-eng Premier League-Norwich City,2020,eng Premier League,Norwich City,26.5,50.7,38,1.89,15.8,5.29,33.5,0.11,0.34,0.18,1.53,0.05,11.3,7.45,11.7
2020-es La Liga-Osasuna,2020,es La Liga,Osasuna,27.0,52.5,38,1.42,10.9,3.63,33.4,0.12,0.36,0.13,2.18,0.11,15.3,6.24,10.1
2020-de Bundesliga-Paderborn 07,2020,de Bundesliga,Paderborn 07,26.1,54.3,34,2.15,14.5,5.26,36.2,0.14,0.39,0.15,1.94,0.03,13.5,8.15,13.0
2020-fr Ligue 1-Paris S-G,2020,fr Ligue 1,Paris S-G,26.1,34.4,27,0.85,9.96,3.04,30.5,0.09,0.28,0.0,1.7,0.22,12.9,10.5,13.7
2020-it Serie A-Parma,2020,it Serie A,Parma,26.9,56.4,38,1.5,17.4,5.29,30.5,0.08,0.25,0.29,2.34,0.08,14.6,7.53,10.4
2020-de Bundesliga-RB Leipzig,2020,de Bundesliga,RB Leipzig,25.9,44.5,34,1.09,10.4,3.59,34.7,0.1,0.29,0.06,2.18,0.03,11.4,9.94,11.1
2020-es La Liga-Real Madrid,2020,es La Liga,Real Madrid,27.0,40.9,38,0.66,8.61,2.84,33.0,0.07,0.21,0.05,2.29,0.03,13.6,8.03,10.4
2020-es La Liga-Real Sociedad,2020,es La Liga,Real Sociedad,27.3,43.4,38,1.24,10.1,3.63,35.8,0.1,0.29,0.24,2.66,0.18,13.3,7.55,9.82
2020-fr Ligue 1-Reims,2020,fr Ligue 1,Reims,26.0,51.2,28,0.75,10.1,3.11,30.9,0.07,0.22,0.21,1.25,0.07,14.0,9.32,10.8
2020-fr Ligue 1-Rennes,2020,fr Ligue 1,Rennes,26.2,50.3,28,0.82,12.4,3.29,26.6,0.06,0.22,0.18,2.61,0.07,14.1,8.04,12.5
2020-it Serie A-Roma,2020,it Serie A,Roma,27.0,47.1,38,1.34,11.0,3.84,34.8,0.1,0.29,0.26,2.42,0.03,15.2,6.58,9.37
2020-fr Ligue 1-Saint-Étienne,2020,fr Ligue 1,Saint-Étienne,26.0,52.0,28,1.61,11.4,4.14,36.3,0.13,0.34,0.21,1.79,0.07,13.3,8.93,12.9
2020-it Serie A-Sampdoria,2020,it Serie A,Sampdoria,26.9,57.6,38,1.61,13.2,4.55,34.5,0.11,0.31,0.24,2.26,0.21,15.8,6.58,9.34
2020-it Serie A-Sassuolo,2020,it Serie A,Sassuolo,27.0,42.2,38,1.55,13.5,4.66,34.5,0.1,0.29,0.24,3.11,0.11,13.7,8.53,11.9
2020-de Bundesliga-Schalke 04,2020,de Bundesliga,Schalke 04,26.2,51.0,34,1.65,13.4,4.88,36.4,0.11,0.3,0.18,2.18,0.0,11.9,7.35,13.4
2020-es La Liga-Sevilla,2020,es La Liga,Sevilla,27.2,41.6,38,0.87,9.97,3.05,30.6,0.08,0.26,0.11,2.63,0.13,14.5,7.0,10.6
2020-eng Premier League-Sheffield Utd,2020,eng Premier League,Sheffield Utd,26.7,56.9,38,1.03,11.3,3.71,32.8,0.09,0.27,0.08,1.21,0.0,12.5,5.63,8.18
2020-eng Premier League-Southampton,2020,eng Premier League,Southampton,26.5,50.7,38,1.55,11.7,4.29,36.6,0.13,0.34,0.11,1.76,0.08,13.4,6.76,11.2
2020-it Serie A-SPAL,2020,it Serie A,SPAL,27.0,53.2,38,1.95,17.1,5.84,34.2,0.1,0.3,0.21,1.97,0.03,15.2,4.58,10.4
2020-fr Ligue 1-Strasbourg,2020,fr Ligue 1,Strasbourg,26.0,50.3,27,1.19,9.89,3.52,35.6,0.1,0.27,0.26,2.07,0.11,13.8,7.26,10.4
2020-it Serie A-Torino,2020,it Serie A,Torino,27.0,52.5,38,1.71,16.0,5.24,32.7,0.09,0.28,0.29,2.89,0.05,17.1,6.45,12.1
2020-eng Premier League-Tottenham,2020,eng Premier League,Tottenham,26.7,47.8,38,1.18,14.0,4.53,32.4,0.08,0.23,0.18,2.18,0.03,12.7,8.53,12.3
2020-fr Ligue 1-Toulouse,2020,fr Ligue 1,Toulouse,26.1,56.0,28,2.04,14.6,5.0,34.3,0.13,0.39,0.18,1.18,0.0,14.1,8.5,10.9
2020-it Serie A-Udinese,2020,it Serie A,Udinese,27.2,55.3,38,1.34,15.3,4.89,32.0,0.07,0.23,0.26,2.11,0.13,14.1,6.16,9.84
2020-de Bundesliga-Union Berlin,2020,de Bundesliga,Union Berlin,26.2,58.2,34,1.68,14.3,4.94,34.5,0.11,0.32,0.12,1.68,0.03,16.2,6.74,8.97
2020-es La Liga-Valencia,2020,es La Liga,Valencia,27.1,51.1,38,1.37,14.7,4.79,32.6,0.08,0.25,0.24,2.37,0.11,11.9,6.58,8.92
2020-es La Liga-Valladolid,2020,es La Liga,Valladolid,27.3,55.7,38,1.13,12.0,3.53,29.5,0.08,0.27,0.21,2.5,0.11,13.9,5.37,9.82
2020-es La Liga-Villarreal,2020,es La Liga,Villarreal,27.2,46.8,38,1.24,12.3,4.18,34.0,0.08,0.25,0.24,2.21,0.13,13.5,6.76,9.53
2020-eng Premier League-Watford,2020,eng Premier League,Watford,26.5,57.5,38,1.61,12.8,4.37,34.0,0.11,0.32,0.24,1.74,0.03,14.8,6.68,10.4
2020-de Bundesliga-Werder Bremen,2020,de Bundesliga,Werder Bremen,25.9,51.2,34,1.94,14.4,5.15,35.6,0.13,0.37,0.03,2.35,0.18,14.2,7.32,11.0
2020-eng Premier League-West Ham,2020,eng Premier League,West Ham,26.6,56.0,38,1.55,13.0,4.68,36.1,0.11,0.3,0.16,1.18,0.0,11.7,6.71,10.2
2020-de Bundesliga-Wolfsburg,2020,de Bundesliga,Wolfsburg,26.1,51.7,34,1.35,11.1,4.12,37.2,0.11,0.29,0.15,2.03,0.06,14.5,8.38,12.0
2020-eng Premier League-Wolves,2020,eng Premier League,Wolves,26.5,51.7,38,1.03,10.3,3.16,30.5,0.1,0.32,0.08,2.24,0.13,11.7,6.97,11.3
2019-fr Ligue 1-Amiens,2019,fr Ligue 1,Amiens,26.1,53.7,38,1.32,13.1,4.08,31.1,0.09,0.28,0.24,1.45,0.05,13.2,10.4,10.3
2019-fr Ligue 1-Angers,2019,fr Ligue 1,Angers,25.8,57.0,38,1.24,12.2,4.21,34.6,0.1,0.28,0.13,2.18,0.18,12.4,11.6,9.76
2019-eng Premier League-Arsenal,2019,eng Premier League,Arsenal,26.8,42.0,38,1.29,12.9,4.58,35.4,0.09,0.24,0.18,1.37,0.11,11.6,20.2,10.2
2019-it Serie A-Atalanta,2019,it Serie A,Atalanta,26.9,42.2,38,1.13,10.7,3.47,32.4,0.1,0.3,0.13,2.13,0.13,13.0,10.5,12.7
2019-es La Liga-Athletic Club,2019,es La Liga,Athletic Club,27.2,49.9,38,1.18,10.4,3.05,29.4,0.1,0.34,0.13,2.79,0.21,15.3,11.3,9.47
2019-es La Liga-Atlético Madrid,2019,es La Liga,Atlético Madrid,27.0,50.6,38,0.71,11.1,3.42,30.7,0.05,0.17,0.13,2.58,0.0,15.4,12.3,11.2
2019-de Bundesliga-Augsburg,2019,de Bundesliga,Augsburg,25.8,53.4,34,2.03,14.9,5.29,35.6,0.13,0.38,0.06,1.5,0.06,15.4,7.38,8.97
2019-es La Liga-Barcelona,2019,es La Liga,Barcelona,26.8,35.8,38,0.95,10.8,3.39,31.5,0.08,0.26,0.05,2.61,0.11,11.2,16.0,12.4
2019-de Bundesliga-Bayern Munich,2019,de Bundesliga,Bayern Munich,25.6,34.5,34,0.91,7.29,2.09,28.6,0.1,0.37,0.18,1.44,0.06,11.2,9.12,10.0
