Key,Year,Competition,Squad,Age,Poss,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,PKatt,CrdY,CrdR,Fld,Int,TklW
2022-es La Liga-Granada,2022,es La Liga,Granada,28.1,44.6,1.13,11.2,3.45,30.8,0.09,0.31,0.13,2.76,0.11,13.8,12.9,10.6
2022-de Bundesliga-Greuther Fürth,2022,de Bundesliga,Greuther Fürth,25.9,43.4,0.76,9.09,2.76,30.4,0.07,0.22,0.15,1.79,0.0,14.2,18.1,10.9
2022-it Serie A-Hellas Verona,2022,it Serie A,Hellas Verona,26.8,50.6,1.66,12.0,4.03,33.6,0.12,0.37,0.21,2.63,0.18,12.3,14.7,10.1
2022-de Bundesliga-Hertha BSC,2022,de Bundesliga,Hertha BSC,26.7,43.5,1.03,10.9,3.5,32.1,0.09,0.27,0.09,1.82,0.06,14.1,15.8,11.0
2022-de Bundesliga-Hoffenheim,2022,de Bundesliga,Hoffenheim,26.1,53.6,1.62,13.4,4.32,32.4,0.12,0.37,0.0,2.21,0.0,11.4,13.4,10.7
2022-it Serie A-Inter,2022,it Serie A,Inter,28.9,56.6,2.18,17.6,6.26,35.5,0.11,0.32,0.29,1.87,0.0,12.6,12.2,10.6
2022-it Serie A-Juventus,2022,it Serie A,Juventus,27.4,51.7,1.47,13.7,4.42,32.2,0.1,0.3,0.16,2.03,0.05,14.6,13.4,10.0
2022-de Bundesliga-Köln,2022,de Bundesliga,Köln,27.0,55.1,1.53,13.8,4.44,32.1,0.11,0.34,0.03,1.97,0.03,15.0,18.3,11.8
2022-it Serie A-Lazio,2022,it Serie A,Lazio,29.0,55.6,1.95,11.8,4.87,41.3,0.15,0.36,0.24,2.32,0.13,13.3,13.0,9.16
2022-eng Premier League-Leeds United,2022,eng Premier League,Leeds United,26.1,52.5,1.11,12.8,3.74,29.3,0.08,0.26,0.13,2.66,0.08,11.8,16.5,12.4
2022-eng Premier League-Leicester City,2022,eng Premier League,Leicester City,26.5,52.1,1.63,11.5,4.29,37.4,0.14,0.37,0.05,1.45,0.03,12.9,14.0,11.6
2022-fr Ligue 1-Lens,2022,fr Ligue 1,Lens,26.1,50.8,1.58,13.5,4.82,35.7,0.11,0.3,0.13,1.92,0.18,10.9,17.5,10.9
2022-es La Liga-Levante,2022,es La Liga,Levante,28.0,46.9,1.34,11.3,3.79,33.4,0.1,0.3,0.34,2.87,0.16,11.8,13.3,9.97
2022-de Bundesliga-Leverkusen,2022,de Bundesliga,Leverkusen,24.4,53.9,2.21,13.3,5.41,40.6,0.16,0.4,0.18,1.94,0.06,11.4,18.1,10.6
2022-fr Ligue 1-Lille,2022,fr Ligue 1,Lille,26.1,50.8,1.18,12.2,3.89,31.9,0.09,0.28,0.13,2.58,0.16,12.8,14.1,11.9
2022-eng Premier League-Liverpool,2022,eng Premier League,Liverpool,27.7,63.3,2.47,19.0,6.24,32.8,0.12,0.37,0.21,1.32,0.03,10.4,14.5,9.63
2022-fr Ligue 1-Lorient,2022,fr Ligue 1,Lorient,26.2,44.3,0.89,11.6,3.84,33.1,0.07,0.21,0.08,1.82,0.11,11.8,17.1,12.8
2022-fr Ligue 1-Lyon,2022,fr Ligue 1,Lyon,25.6,58.8,1.71,14.4,5.08,35.2,0.1,0.3,0.21,1.71,0.16,12.3,16.1,12.7
2022-de Bundesliga-M'Gladbach,2022,de Bundesliga,M'Gladbach,26.0,54.4,1.59,14.6,5.06,34.7,0.1,0.28,0.21,1.97,0.03,16.0,16.4,11.9
2022-de Bundesliga-Mainz 05,2022,de Bundesliga,Mainz 05,26.2,46.3,1.44,13.6,4.38,32.1,0.1,0.3,0.12,1.82,0.12,12.6,17.4,12.3
2022-es La Liga-Mallorca,2022,es La Liga,Mallorca,27.9,45.1,0.87,11.6,3.39,29.3,0.06,0.21,0.18,3.0,0.18,16.3,13.9,11.3
2022-eng Premier League-Manchester City,2022,eng Premier League,Manchester City,27.0,68.5,2.53,18.5,6.29,33.9,0.13,0.37,0.24,1.11,0.03,11.6,11.4,8.55
2022-eng Premier League-Manchester Utd,2022,eng Premier League,Manchester Utd,27.2,52.9,1.47,13.3,4.71,35.4,0.1,0.3,0.13,2.03,0.05,10.9,14.9,10.2
2022-fr Ligue 1-Marseille,2022,fr Ligue 1,Marseille,25.0,62.0,1.61,12.9,4.18,32.5,0.1,0.32,0.26,1.61,0.08,13.7,13.4,10.4
2022-fr Ligue 1-Metz,2022,fr Ligue 1,Metz,25.9,42.8,0.87,9.79,2.92,29.8,0.09,0.29,0.03,2.47,0.24,12.1,19.2,13.4
2022-it Serie A-Milan,2022,it Serie A,Milan,25.6,54.2,1.74,15.6,4.89,31.4,0.1,0.33,0.21,2.0,0.08,15.2,15.9,12.9
2022-fr Ligue 1-Monaco,2022,fr Ligue 1,Monaco,24.4,54.2,1.63,11.8,4.0,34.0,0.12,0.35,0.24,2.24,0.11,11.9,17.5,13.3
2022-fr Ligue 1-Montpellier,2022,fr Ligue 1,Montpellier,25.8,48.1,1.26,11.4,3.97,35.0,0.1,0.3,0.11,2.03,0.21,13.2,16.0,10.7
2022-fr Ligue 1-Nantes,2022,fr Ligue 1,Nantes,26.1,43.7,1.39,11.1,3.79,34.0,0.11,0.33,0.13,2.11,0.11,10.5,15.9,12.1
2022-it Serie A-Napoli,2022,it Serie A,Napoli,27.9,58.5,1.95,14.9,4.92,33.0,0.11,0.34,0.37,1.66,0.05,14.2,12.2,10.6
2022-eng Premier League-Newcastle Utd,2022,eng Premier League,Newcastle Utd,27.5,39.9,1.08,11.7,3.68,31.6,0.09,0.27,0.08,2.13,0.05,11.8,15.7,10.7
2022-fr Ligue 1-Nice,2022,fr Ligue 1,Nice,25.0,51.6,1.37,11.8,3.74,31.6,0.1,0.31,0.26,2.03,0.16,10.7,16.0,11.0
2022-eng Premier League-Norwich City,2022,eng Premier League,Norwich City,26.2,42.5,0.55,9.84,2.74,27.8,0.05,0.17,0.08,1.5,0.03,13.0,16.7,10.3
2022-es La Liga-Osasuna,2022,es La Liga,Osasuna,27.7,46.7,0.97,11.2,3.0,26.8,0.07,0.27,0.21,2.21,0.05,11.7,14.6,9.82
2022-fr Ligue 1-Paris S-G,2022,fr Ligue 1,Paris S-G,27.8,63.4,2.32,14.7,5.32,36.3,0.15,0.4,0.21,2.08,0.11,12.3,12.8,10.7
2022-es La Liga-Rayo Vallecano,2022,es La Liga,Rayo Vallecano,27.5,49.9,1.0,13.2,3.53,26.7,0.07,0.25,0.11,2.66,0.08,15.6,15.5,11.0
2022-de Bundesliga-RB Leipzig,2022,de Bundesliga,RB Leipzig,25.3,56.6,2.12,12.8,5.03,39.2,0.15,0.37,0.26,1.44,0.0,14.2,15.6,9.62
2022-es La Liga-Real Madrid,2022,es La Liga,Real Madrid,27.7,60.3,2.11,17.2,6.32,36.8,0.11,0.3,0.32,2.0,0.0,14.7,13.7,10.6
2022-es La Liga-Real Sociedad,2022,es La Liga,Real Sociedad,25.7,54.7,1.05,11.5,3.74,32.5,0.07,0.22,0.29,2.03,0.11,14.5,12.6,10.6
2022-fr Ligue 1-Reims,2022,fr Ligue 1,Reims,24.0,42.2,1.11,10.3,3.66,35.5,0.1,0.27,0.16,1.79,0.18,12.7,18.9,11.4
2022-fr Ligue 1-Rennes,2022,fr Ligue 1,Rennes,25.3,56.3,2.13,14.5,5.08,35.1,0.14,0.4,0.11,1.47,0.05,11.4,13.1,8.76
2022-it Serie A-Roma,2022,it Serie A,Roma,26.4,51.4,1.53,15.7,4.71,30.0,0.09,0.28,0.24,2.92,0.21,13.6,14.9,11.3
2022-fr Ligue 1-Saint-Étienne,2022,fr Ligue 1,Saint-Étienne,25.1,49.3,1.08,11.6,3.82,32.9,0.08,0.25,0.13,2.13,0.13,12.4,16.0,12.7
2022-it Serie A-Salernitana,2022,it Serie A,Salernitana,27.7,41.0,0.84,11.3,3.53,31.1,0.06,0.21,0.13,2.47,0.13,15.3,15.6,9.66
2022-it Serie A-Sampdoria,2022,it Serie A,Sampdoria,29.0,45.9,1.11,10.2,3.18,31.2,0.1,0.33,0.11,2.47,0.11,14.4,16.2,9.79
2022-it Serie A-Sassuolo,2022,it Serie A,Sassuolo,26.1,55.2,1.58,14.9,5.34,35.7,0.09,0.26,0.18,2.42,0.11,14.2,13.7,8.45
2022-es La Liga-Sevilla,2022,es La Liga,Sevilla,28.6,59.8,1.34,11.4,3.71,32.6,0.11,0.35,0.08,2.55,0.11,13.8,12.4,10.4
2022-eng Premier League-Southampton,2022,eng Premier League,Southampton,25.7,47.9,1.08,12.7,4.18,32.9,0.08,0.23,0.11,1.71,0.05,11.7,17.8,10.6
2022-it Serie A-Spezia,2022,it Serie A,Spezia,24.4,42.7,1.0,10.2,3.45,33.8,0.09,0.27,0.13,2.32,0.11,12.5,15.4,10.1
2022-fr Ligue 1-Strasbourg,2022,fr Ligue 1,Strasbourg,27.0,49.5,1.47,12.5,3.97,31.8,0.11,0.33,0.21,1.89,0.08,11.6,16.3,12.0
2022-de Bundesliga-Stuttgart,2022,de Bundesliga,Stuttgart,24.0,50.7,1.18,13.3,4.53,34.0,0.09,0.25,0.09,1.88,0.06,14.1,16.1,10.2
2022-it Serie A-Torino,2022,it Serie A,Torino,25.2,53.6,1.13,12.4,3.66,29.4,0.08,0.27,0.16,2.34,0.08,13.6,15.4,8.05
2022-eng Premier League-Tottenham,2022,eng Premier League,Tottenham,26.5,52.0,1.66,12.9,4.89,37.9,0.12,0.31,0.13,1.82,0.03,13.6,14.5,9.76
2022-fr Ligue 1-Troyes,2022,fr Ligue 1,Troyes,27.1,44.2,0.92,10.1,3.16,31.3,0.08,0.24,0.18,1.97,0.16,13.4,16.8,11.1
2022-it Serie A-Udinese,2022,it Serie A,Udinese,26.2,42.3,1.53,13.3,4.84,36.3,0.11,0.3,0.11,2.5,0.16,13.0,15.0,12.0
2022-de Bundesliga-Union Berlin,2022,de Bundesliga,Union Berlin,28.3,43.4,1.47,12.1,4.38,36.3,0.11,0.3,0.15,1.82,0.03,10.8,15.7,10.0
2022-es La Liga-Valencia,2022,es La Liga,Valencia,24.8,43.6,1.18,10.4,3.34,32.2,0.09,0.29,0.24,3.53,0.21,16.8,15.4,11.1
2022-it Serie A-Venezia,2022,it Serie A,Venezia,26.1,42.1,0.89,9.32,2.95,31.6,0.09,0.28,0.13,2.89,0.24,13.7,16.2,10.1
2022-es La Liga-Villarreal,2022,es La Liga,Villarreal,28.0,57.0,1.63,12.0,4.32,36.0,0.13,0.35,0.16,2.13,0.03,14.3,13.2,8.89
2022-eng Premier League-Watford,2022,eng Premier League,Watford,28.4,40.3,0.87,10.5,3.32,31.7,0.08,0.25,0.05,1.66,0.08,10.6,17.8,11.1
2022-eng Premier League-West Ham,2022,eng Premier League,West Ham,28.2,47.8,1.53,11.7,3.76,32.1,0.12,0.38,0.16,1.37,0.08,9.26,14.2,9.24
2022-de Bundesliga-Wolfsburg,2022,de Bundesliga,Wolfsburg,26.0,50.6,1.24,12.5,4.0,32.0,0.09,0.29,0.12,1.79,0.09,14.0,17.2,10.3
2022-eng Premier League-Wolves,2022,eng Premier League,Wolves,27.3,49.6,0.92,10.6,3.53,33.3,0.08,0.25,0.03,1.63,0.05,10.6,14.8,12.2
2021-es La Liga-Alavés,2021,es La Liga,Alavés,28.7,42.7,0.92,8.87,2.61,29.4,0.09,0.3,0.21,2.53,0.21,13.9,11.3,9.45
2021-fr Ligue 1-Angers,2021,fr Ligue 1,Angers,27.9,46.2,1.03,10.5,3.61,34.3,0.09,0.25,0.16,1.71,0.05,14.1,11.5,12.1
2021-de Bundesliga-Arminia,2021,de Bundesliga,Arminia,26.0,42.2,0.68,9.68,2.94,30.4,0.07,0.22,0.06,1.53,0.03,13.0,8.97,11.6
2021-eng Premier League-Arsenal,2021,eng Premier League,Arsenal,25.9,53.8,1.39,12.0,3.71,31.0,0.1,0.33,0.16,1.29,0.13,12.7,8.87,8.29
2021-eng Premier League-Aston Villa,2021,eng Premier League,Aston Villa,25.2,48.1,1.37,13.6,4.71,34.6,0.09,0.26,0.16,1.87,0.11,17.2,9.92,9.42
2021-it Serie A-Atalanta,2021,it Serie A,Atalanta,27.3,54.9,2.34,16.2,5.92,36.6,0.14,0.37,0.18,1.76,0.08,14.5,13.2,11.2
2021-es La Liga-Athletic Club,2021,es La Liga,Athletic Club,26.6,49.8,1.13,10.6,3.5,32.9,0.1,0.29,0.13,2.16,0.08,14.3,9.16,9.03
2021-es La Liga-Atlético Madrid,2021,es La Liga,Atlético Madrid,27.3,52.4,1.71,11.9,4.71,39.6,0.13,0.34,0.18,2.63,0.0,13.5,10.4,11.8
2021-de Bundesliga-Augsburg,2021,de Bundesliga,Augsburg,27.0,41.3,1.03,9.85,3.18,32.2,0.1,0.31,0.15,2.06,0.12,13.1,12.9,9.94
2021-es La Liga-Barcelona,2021,es La Liga,Barcelona,26.4,65.8,2.11,15.1,6.0,39.8,0.13,0.33,0.21,1.89,0.05,16.1,9.32,9.24
2021-de Bundesliga-Bayern Munich,2021,de Bundesliga,Bayern Munich,27.3,61.1,2.88,16.7,6.47,38.7,0.16,0.4,0.29,1.29,0.09,12.6,12.2,11.1
2021-it Serie A-Benevento,2021,it Serie A,Benevento,28.7,42.3,1.05,10.8,3.42,31.6,0.09,0.27,0.18,2.5,0.13,17.1,10.9,9.55
2021-es La Liga-Betis,2021,es La Liga,Betis,27.9,53.9,1.32,11.5,3.79,33.0,0.1,0.29,0.29,2.45,0.21,14.9,11.4,9.95
2021-it Serie A-Bologna,2021,it Serie A,Bologna,27.2,50.9,1.29,13.1,4.66,35.7,0.09,0.26,0.11,2.16,0.11,14.0,11.7,8.63
2021-fr Ligue 1-Bordeaux,2021,fr Ligue 1,Bordeaux,27.6,49.7,1.08,10.9,3.63,33.4,0.09,0.27,0.11,2.05,0.11,13.4,11.5,10.9
2021-fr Ligue 1-Brest,2021,fr Ligue 1,Brest,24.9,49.3,1.24,11.7,4.13,35.4,0.1,0.28,0.11,1.63,0.11,12.3,9.79,11.5
2021-eng Premier League-Brighton,2021,eng Premier League,Brighton,25.8,51.3,1.03,12.5,3.39,27.1,0.07,0.26,0.24,1.29,0.16,11.2,10.4,10.9
2021-eng Premier League-Burnley,2021,eng Premier League,Burnley,28.3,41.7,0.84,10.1,3.29,32.6,0.08,0.23,0.08,1.26,0.0,12.1,10.5,8.42
2021-es La Liga-Cádiz,2021,es La Liga,Cádiz,28.8,34.3,0.87,7.92,2.55,32.2,0.1,0.3,0.11,2.13,0.08,14.1,10.8,10.1
2021-it Serie A-Cagliari,2021,it Serie A,Cagliari,26.5,44.6,1.13,11.3,3.24,28.5,0.09,0.32,0.13,2.03,0.08,14.0,9.97,9.74
2021-es La Liga-Celta Vigo,2021,es La Liga,Celta Vigo,26.6,53.7,1.45,9.18,3.61,39.3,0.14,0.35,0.18,2.87,0.13,14.9,9.87,11.1
2021-eng Premier League-Chelsea,2021,eng Premier League,Chelsea,26.0,61.4,1.47,14.6,5.11,35.1,0.09,0.25,0.26,1.34,0.08,12.2,11.7,10.9
2021-it Serie A-Crotone,2021,it Serie A,Crotone,27.8,46.4,1.16,9.32,2.92,31.4,0.1,0.32,0.24,2.34,0.11,13.9,9.39,9.84
2021-eng Premier League-Crystal Palace,2021,eng Premier League,Crystal Palace,29.1,40.1,1.03,9.11,3.39,37.3,0.1,0.28,0.11,1.47,0.05,13.4,12.1,10.2
2021-fr Ligue 1-Dijon,2021,fr Ligue 1,Dijon,25.7,46.2,0.66,9.11,2.32,25.4,0.06,0.25,0.13,2.0,0.13,11.8,13.4,11.6
2021-de Bundesliga-Dortmund,2021,de Bundesliga,Dortmund,25.6,59.8,2.18,14.4,5.35,37.2,0.15,0.39,0.21,1.29,0.03,12.8,11.8,12.1
2021-es La Liga-Eibar,2021,es La Liga,Eibar,28.2,49.6,0.76,11.7,3.42,29.3,0.06,0.19,0.24,1.87,0.08,11.5,10.1,9.55
2021-de Bundesliga-Eint Frankfurt,2021,de Bundesliga,Eint Frankfurt,27.2,54.0,1.85,12.9,4.68,36.3,0.13,0.35,0.24,2.41,0.03,11.8,12.5,12.0
2021-es La Liga-Elche,2021,es La Liga,Elche,28.1,47.6,0.87,7.0,2.29,32.7,0.12,0.36,0.08,2.61,0.08,13.6,10.2,10.4
2021-eng Premier League-Everton,2021,eng Premier League,Everton,26.3,46.5,1.18,10.4,3.79,36.5,0.1,0.28,0.13,1.55,0.05,12.4,10.5,11.2
2021-it Serie A-Fiorentina,2021,it Serie A,Fiorentina,26.6,46.2,1.16,9.68,3.13,32.3,0.1,0.32,0.16,2.26,0.13,15.6,9.68,9.53
2021-de Bundesliga-Freiburg,2021,de Bundesliga,Freiburg,26.2,47.0,1.5,11.4,4.21,37.0,0.12,0.31,0.18,1.82,0.0,13.0,11.4,8.76
2021-eng Premier League-Fulham,2021,eng Premier League,Fulham,25.2,49.9,0.68,11.6,3.24,28.0,0.05,0.19,0.16,1.76,0.08,12.0,13.2,10.9
2021-it Serie A-Genoa,2021,it Serie A,Genoa,28.3,44.7,1.21,9.05,3.21,35.5,0.12,0.34,0.11,2.29,0.05,14.1,12.5,10.4
2021-es La Liga-Getafe,2021,es La Liga,Getafe,26.7,42.8,0.71,9.29,2.66,28.6,0.07,0.24,0.13,3.16,0.18,15.0,11.2,10.1
2021-es La Liga-Granada,2021,es La Liga,Granada,27.4,41.0,1.21,9.39,3.24,34.5,0.12,0.35,0.13,2.55,0.16,13.6,10.7,9.87
2021-it Serie A-Hellas Verona,2021,it Serie A,Hellas Verona,26.2,49.8,1.0,10.4,3.16,30.3,0.09,0.29,0.08,2.39,0.03,15.3,12.2,8.89
2021-de Bundesliga-Hertha BSC,2021,de Bundesliga,Hertha BSC,25.4,49.4,1.18,11.2,4.24,37.7,0.09,0.25,0.18,1.97,0.09,14.3,12.0,10.4
2021-de Bundesliga-Hoffenheim,2021,de Bundesliga,Hoffenheim,25.7,51.1,1.5,12.4,4.41,35.6,0.11,0.31,0.18,2.0,0.12,13.6,10.2,10.4
2021-es La Liga-Huesca,2021,es La Liga,Huesca,28.0,48.3,0.84,10.6,3.42,32.3,0.07,0.22,0.11,1.82,0.05,15.7,9.18,10.6
2021-it Serie A-Inter,2021,it Serie A,Inter,27.7,52.4,2.21,14.3,5.18,36.3,0.14,0.39,0.24,1.61,0.05,13.1,9.61,8.58
2021-it Serie A-Juventus,2021,it Serie A,Juventus,27.7,57.1,2.0,15.4,5.37,34.8,0.12,0.33,0.26,2.11,0.16,14.8,9.74,10.4
2021-de Bundesliga-Köln,2021,de Bundesliga,Köln,24.9,46.3,0.97,10.4,3.03,29.2,0.08,0.28,0.18,1.85,0.03,13.9,12.6,11.2
2021-it Serie A-Lazio,2021,it Serie A,Lazio,29.4,53.1,1.55,13.7,4.58,33.5,0.1,0.3,0.26,2.82,0.13,12.8,11.2,10.4
2021-eng Premier League-Leeds United,2021,eng Premier League,Leeds United,26.1,57.6,1.58,13.8,5.16,37.4,0.11,0.29,0.11,1.61,0.03,12.6,12.6,13.0
2021-eng Premier League-Leicester City,2021,eng Premier League,Leicester City,26.5,54.6,1.68,12.4,4.53,36.4,0.11,0.31,0.32,1.61,0.0,13.5,11.4,11.7
2021-fr Ligue 1-Lens,2021,fr Ligue 1,Lens,26.4,51.4,1.39,11.6,3.55,30.6,0.1,0.32,0.32,2.47,0.18,13.3,12.1,10.6
