Key,Year,Competition,Squad,Age,Poss,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,PKatt,CrdY,CrdR,Fld,Int,TklW
2021-fr Ligue 1-Metz,2021,fr Ligue 1,Metz,25.7,45.3,1.11,11.1,3.39,30.5,0.08,0.27,0.29,2.21,0.11,13.1,11.8,12.2
2021-it Serie A-Milan,2021,it Serie A,Milan,24.4,51.9,1.89,14.2,4.89,34.6,0.11,0.31,0.53,2.18,0.11,14.3,10.1,10.7
2021-fr Ligue 1-Monaco,2021,fr Ligue 1,Monaco,24.8,56.0,2.0,12.5,4.24,34.0,0.14,0.4,0.39,2.05,0.18,13.3,10.3,14.5
2021-fr Ligue 1-Montpellier,2021,fr Ligue 1,Montpellier,28.0,45.3,1.58,12.2,4.5,36.8,0.12,0.34,0.13,1.71,0.18,12.8,10.4,10.5
2021-fr Ligue 1-Nantes,2021,fr Ligue 1,Nantes,25.8,43.7,1.24,10.6,3.21,30.2,0.1,0.32,0.24,1.84,0.11,14.3,11.0,11.9
2021-it Serie A-Napoli,2021,it Serie A,Napoli,27.1,55.2,2.18,16.8,5.79,34.4,0.12,0.35,0.21,2.0,0.08,16.2,10.7,10.3
2021-eng Premier League-Newcastle Utd,2021,eng Premier League,Newcastle Utd,27.1,38.2,1.16,10.2,3.42,33.6,0.1,0.29,0.18,1.71,0.08,12.6,10.9,9.55
2021-fr Ligue 1-Nice,2021,fr Ligue 1,Nice,23.5,54.5,1.29,10.5,3.71,35.3,0.11,0.3,0.18,1.92,0.11,12.5,10.0,11.2
2021-fr Ligue 1-Nîmes,2021,fr Ligue 1,Nîmes,25.8,44.4,1.05,10.1,3.47,34.5,0.09,0.25,0.21,1.58,0.13,14.7,12.5,11.4
2021-es La Liga-Osasuna,2021,es La Liga,Osasuna,27.9,43.1,0.95,9.79,3.08,31.5,0.08,0.26,0.16,2.11,0.13,11.8,10.1,9.32
2021-fr Ligue 1-Paris S-G,2021,fr Ligue 1,Paris S-G,26.7,63.5,2.24,14.7,5.34,36.3,0.13,0.36,0.34,2.08,0.18,13.3,9.58,11.2
2021-it Serie A-Parma,2021,it Serie A,Parma,28.0,47.7,1.03,10.4,3.18,30.5,0.09,0.28,0.13,2.39,0.03,13.9,11.3,9.71
2021-de Bundesliga-RB Leipzig,2021,de Bundesliga,RB Leipzig,25.0,60.0,1.74,15.6,5.56,35.5,0.1,0.27,0.29,1.68,0.0,13.7,11.2,10.4
2021-es La Liga-Real Madrid,2021,es La Liga,Real Madrid,27.9,59.7,1.68,14.6,4.37,30.0,0.11,0.37,0.08,1.55,0.05,14.3,10.7,9.29
2021-es La Liga-Real Sociedad,2021,es La Liga,Real Sociedad,25.0,55.1,1.53,11.0,3.66,33.3,0.12,0.35,0.32,2.13,0.03,13.7,8.87,9.0
2021-fr Ligue 1-Reims,2021,fr Ligue 1,Reims,24.6,44.8,1.03,9.45,3.16,33.4,0.09,0.28,0.13,2.03,0.21,11.7,11.5,11.4
2021-fr Ligue 1-Rennes,2021,fr Ligue 1,Rennes,25.5,59.5,1.32,13.4,4.21,31.4,0.09,0.29,0.08,2.08,0.13,13.7,8.95,12.0
2021-it Serie A-Roma,2021,it Serie A,Roma,26.7,52.5,1.76,14.2,5.05,35.6,0.11,0.31,0.21,2.39,0.08,13.2,12.0,10.3
2021-fr Ligue 1-Saint-Étienne,2021,fr Ligue 1,Saint-Étienne,25.4,48.3,1.05,11.5,3.71,32.3,0.08,0.24,0.24,2.0,0.05,13.7,11.8,13.1
2021-it Serie A-Sampdoria,2021,it Serie A,Sampdoria,27.9,45.1,1.37,11.1,3.61,32.5,0.11,0.34,0.16,2.18,0.08,14.5,10.8,10.5
2021-it Serie A-Sassuolo,2021,it Serie A,Sassuolo,26.5,60.8,1.61,13.6,4.37,32.1,0.09,0.29,0.37,2.08,0.11,14.8,9.79,9.71
2021-de Bundesliga-Schalke 04,2021,de Bundesliga,Schalke 04,25.9,44.6,0.71,9.0,2.44,27.1,0.08,0.29,0.09,2.18,0.06,13.0,13.7,11.0
2021-es La Liga-Sevilla,2021,es La Liga,Sevilla,28.1,61.2,1.37,11.9,3.58,30.1,0.1,0.34,0.18,2.08,0.05,14.4,8.79,10.2
2021-eng Premier League-Sheffield Utd,2021,eng Premier League,Sheffield Utd,26.7,41.5,0.5,8.39,2.42,28.8,0.05,0.17,0.11,1.92,0.08,9.34,11.6,9.68
2021-eng Premier League-Southampton,2021,eng Premier League,Southampton,26.6,52.2,1.24,11.0,4.13,37.6,0.1,0.27,0.16,1.37,0.08,13.0,11.5,12.0
2021-it Serie A-Spezia,2021,it Serie A,Spezia,25.2,52.2,1.37,10.1,3.42,34.0,0.13,0.37,0.13,2.63,0.13,15.6,11.5,10.2
2021-fr Ligue 1-Strasbourg,2021,fr Ligue 1,Strasbourg,26.8,45.6,1.29,11.1,3.32,29.9,0.09,0.31,0.32,1.53,0.08,11.7,13.5,12.4
2021-de Bundesliga-Stuttgart,2021,de Bundesliga,Stuttgart,24.1,51.5,1.59,13.2,4.5,34.0,0.11,0.31,0.24,1.91,0.06,14.6,11.2,10.3
2021-it Serie A-Torino,2021,it Serie A,Torino,26.9,47.2,1.29,12.0,3.79,31.6,0.1,0.31,0.16,2.05,0.11,17.8,13.0,9.92
2021-eng Premier League-Tottenham,2021,eng Premier League,Tottenham,27.2,51.7,1.74,11.6,4.37,37.6,0.14,0.37,0.13,1.5,0.05,15.0,9.74,11.2
2021-it Serie A-Udinese,2021,it Serie A,Udinese,27.2,46.1,1.05,10.8,3.29,30.6,0.09,0.29,0.11,1.71,0.05,15.3,10.5,10.1
2021-de Bundesliga-Union Berlin,2021,de Bundesliga,Union Berlin,27.3,44.9,1.47,11.4,3.94,34.5,0.12,0.34,0.21,1.68,0.06,11.8,12.6,10.3
2021-es La Liga-Valencia,2021,es La Liga,Valencia,25.2,46.9,1.26,10.0,3.37,33.6,0.1,0.31,0.26,2.16,0.13,15.5,8.45,8.21
2021-es La Liga-Valladolid,2021,es La Liga,Valladolid,28.1,45.1,0.89,9.45,2.89,30.6,0.08,0.25,0.21,2.45,0.11,15.0,10.3,9.89
2021-es La Liga-Villarreal,2021,es La Liga,Villarreal,28.0,55.6,1.5,10.4,3.92,37.8,0.11,0.3,0.34,1.76,0.13,14.8,9.32,8.95
2021-de Bundesliga-Werder Bremen,2021,de Bundesliga,Werder Bremen,26.3,43.8,1.03,10.6,3.5,32.9,0.08,0.25,0.15,1.97,0.09,15.4,14.0,11.0
2021-eng Premier League-West Brom,2021,eng Premier League,West Brom,26.4,37.6,0.87,8.84,2.82,31.8,0.09,0.27,0.11,1.34,0.11,12.6,11.8,10.5
2021-eng Premier League-West Ham,2021,eng Premier League,West Ham,27.8,42.9,1.58,12.2,4.16,34.2,0.13,0.37,0.11,1.32,0.08,11.6,11.2,9.11
2021-de Bundesliga-Wolfsburg,2021,de Bundesliga,Wolfsburg,25.6,51.4,1.68,14.0,4.76,34.1,0.12,0.34,0.09,1.71,0.09,12.6,13.6,12.6
2021-eng Premier League-Wolves,2021,eng Premier League,Wolves,26.3,49.3,0.89,12.2,3.92,32.3,0.06,0.2,0.11,1.45,0.03,12.4,10.2,10.4
2020-es La Liga-Alavés,2020,es La Liga,Alavés,27.6,41.1,0.89,7.87,2.61,33.1,0.09,0.28,0.16,2.92,0.18,12.6,5.63,9.74
2020-fr Ligue 1-Amiens,2020,fr Ligue 1,Amiens,27.4,45.5,1.11,8.18,2.75,33.6,0.12,0.36,0.18,2.04,0.14,12.2,9.75,11.4
2020-fr Ligue 1-Angers,2020,fr Ligue 1,Angers,28.0,45.1,0.96,13.1,4.0,30.5,0.07,0.23,0.04,1.5,0.07,12.9,8.43,11.4
2020-eng Premier League-Arsenal,2020,eng Premier League,Arsenal,25.8,54.0,1.47,10.6,3.79,35.9,0.13,0.37,0.08,2.32,0.13,13.8,6.39,9.82
2020-eng Premier League-Aston Villa,2020,eng Premier League,Aston Villa,25.7,43.9,1.05,11.9,3.84,32.2,0.09,0.27,0.08,1.84,0.03,15.6,6.68,10.2
2020-it Serie A-Atalanta,2020,it Serie A,Atalanta,27.2,57.8,2.53,18.4,6.71,36.4,0.13,0.35,0.26,2.11,0.05,15.8,6.63,11.7
2020-es La Liga-Athletic Club,2020,es La Liga,Athletic Club,26.7,48.7,1.05,10.5,3.42,32.5,0.08,0.25,0.26,2.37,0.05,12.9,6.26,9.29
2020-es La Liga-Atlético Madrid,2020,es La Liga,Atlético Madrid,26.1,48.5,1.32,11.5,3.58,31.1,0.1,0.32,0.21,2.45,0.08,14.7,5.82,11.3
2020-de Bundesliga-Augsburg,2020,de Bundesliga,Augsburg,26.2,38.1,1.32,10.5,3.76,35.8,0.12,0.33,0.15,2.0,0.06,12.4,8.32,9.74
2020-es La Liga-Barcelona,2020,es La Liga,Barcelona,27.8,66.9,2.21,12.9,5.63,43.6,0.16,0.36,0.16,2.42,0.16,16.7,6.29,9.68
2020-de Bundesliga-Bayern Munich,2020,de Bundesliga,Bayern Munich,26.7,65.6,2.85,18.0,7.09,39.4,0.15,0.38,0.18,1.59,0.09,12.3,6.47,10.8
2020-es La Liga-Betis,2020,es La Liga,Betis,27.5,57.1,1.26,12.1,4.03,33.2,0.09,0.27,0.21,2.84,0.24,17.9,5.47,8.71
2020-it Serie A-Bologna,2020,it Serie A,Bologna,27.2,52.9,1.26,14.3,4.29,30.0,0.08,0.26,0.16,2.87,0.18,16.4,6.76,10.5
2020-fr Ligue 1-Bordeaux,2020,fr Ligue 1,Bordeaux,26.9,53.9,1.43,11.0,3.89,35.3,0.12,0.35,0.07,1.96,0.0,13.7,8.11,12.4
2020-eng Premier League-Bournemouth,2020,eng Premier League,Bournemouth,25.2,43.8,1.0,10.1,3.05,30.2,0.09,0.29,0.11,2.05,0.08,12.2,7.61,9.16
2020-it Serie A-Brescia,2020,it Serie A,Brescia,25.6,40.3,0.89,10.9,3.63,33.3,0.07,0.22,0.11,2.5,0.16,16.4,6.45,9.29
2020-fr Ligue 1-Brest,2020,fr Ligue 1,Brest,26.1,49.7,1.14,11.5,3.43,29.9,0.1,0.32,0.18,1.61,0.07,11.4,8.79,12.7
2020-eng Premier League-Brighton,2020,eng Premier League,Brighton,26.4,52.2,0.92,12.0,3.61,30.0,0.07,0.25,0.05,1.55,0.05,10.1,7.87,10.8
2020-eng Premier League-Burnley,2020,eng Premier League,Burnley,28.0,41.4,1.08,10.1,3.26,32.3,0.1,0.31,0.08,1.76,0.0,11.0,6.63,8.95
2020-it Serie A-Cagliari,2020,it Serie A,Cagliari,27.4,45.5,1.32,11.6,3.61,31.2,0.1,0.34,0.16,2.84,0.16,13.6,6.71,10.8
2020-es La Liga-Celta Vigo,2020,es La Liga,Celta Vigo,25.8,51.9,0.97,9.42,3.45,36.6,0.09,0.24,0.24,2.74,0.16,16.0,6.92,9.76
2020-eng Premier League-Chelsea,2020,eng Premier League,Chelsea,25.5,60.7,1.82,16.3,5.53,33.9,0.1,0.3,0.18,1.58,0.0,12.6,7.03,11.8
2020-eng Premier League-Crystal Palace,2020,eng Premier League,Crystal Palace,29.4,44.5,0.76,9.79,3.05,31.2,0.07,0.22,0.08,1.63,0.05,14.5,7.29,11.3
2020-fr Ligue 1-Dijon,2020,fr Ligue 1,Dijon,26.9,46.5,0.93,12.0,3.54,29.4,0.07,0.25,0.04,1.54,0.07,12.6,9.11,12.9
2020-de Bundesliga-Dortmund,2020,de Bundesliga,Dortmund,25.8,61.0,2.47,13.0,5.47,42.0,0.19,0.44,0.06,1.44,0.03,11.1,8.41,11.8
2020-de Bundesliga-Düsseldorf,2020,de Bundesliga,Düsseldorf,27.1,45.4,1.06,12.5,3.35,26.9,0.08,0.28,0.12,2.29,0.0,13.5,8.88,10.2
2020-es La Liga-Eibar,2020,es La Liga,Eibar,29.3,46.3,1.0,11.0,3.55,32.4,0.07,0.23,0.26,2.42,0.08,11.9,6.95,9.74
2020-de Bundesliga-Eint Frankfurt,2020,de Bundesliga,Eint Frankfurt,27.0,51.0,1.68,14.5,5.09,35.2,0.11,0.32,0.06,2.09,0.12,12.1,7.38,13.1
2020-es La Liga-Espanyol,2020,es La Liga,Espanyol,27.7,47.3,0.66,10.5,3.24,30.8,0.05,0.17,0.11,2.82,0.24,13.7,6.61,10.6
2020-eng Premier League-Everton,2020,eng Premier League,Everton,25.5,49.2,1.11,12.2,4.08,33.3,0.09,0.26,0.03,2.0,0.08,11.5,7.34,11.1
2020-it Serie A-Fiorentina,2020,it Serie A,Fiorentina,25.1,47.3,1.29,14.3,4.45,31.1,0.07,0.24,0.29,2.76,0.13,14.8,6.92,10.6
2020-de Bundesliga-Freiburg,2020,de Bundesliga,Freiburg,26.4,47.9,1.35,12.8,4.12,32.2,0.09,0.29,0.18,1.26,0.06,13.9,7.5,9.09
2020-it Serie A-Genoa,2020,it Serie A,Genoa,26.8,49.5,1.21,11.0,3.74,34.0,0.08,0.25,0.42,2.82,0.26,14.9,8.18,10.3
2020-es La Liga-Getafe,2020,es La Liga,Getafe,27.5,44.6,1.11,10.4,3.16,30.2,0.09,0.3,0.18,3.55,0.13,14.6,7.08,10.3
2020-es La Liga-Granada,2020,es La Liga,Granada,26.8,43.7,1.32,10.1,3.11,30.7,0.12,0.38,0.13,2.87,0.03,14.1,5.63,9.24
2020-it Serie A-Hellas Verona,2020,it Serie A,Hellas Verona,26.1,49.8,1.18,11.6,3.84,33.3,0.08,0.25,0.24,2.29,0.18,14.6,7.34,9.08
2020-de Bundesliga-Hertha BSC,2020,de Bundesliga,Hertha BSC,26.2,44.7,1.35,10.6,3.53,33.4,0.12,0.36,0.09,2.26,0.12,11.5,8.94,10.5
2020-de Bundesliga-Hoffenheim,2020,de Bundesliga,Hoffenheim,26.0,51.9,1.53,13.1,4.53,34.7,0.11,0.32,0.12,1.94,0.06,13.2,7.74,10.4
2020-it Serie A-Inter,2020,it Serie A,Inter,27.7,54.2,2.11,16.2,5.71,35.2,0.11,0.32,0.29,2.74,0.16,14.0,6.84,9.82
2020-it Serie A-Juventus,2020,it Serie A,Juventus,28.6,58.3,1.92,17.6,5.84,33.3,0.09,0.27,0.37,2.29,0.08,15.1,7.08,10.1
2020-de Bundesliga-Köln,2020,de Bundesliga,Köln,25.6,46.7,1.47,12.1,4.32,35.6,0.12,0.33,0.12,2.32,0.12,14.2,8.0,12.4
2020-it Serie A-Lazio,2020,it Serie A,Lazio,27.9,50.5,2.03,14.8,5.34,36.0,0.11,0.31,0.47,2.61,0.05,12.5,6.42,10.6
2020-it Serie A-Lecce,2020,it Serie A,Lecce,28.7,44.6,1.37,13.4,4.29,31.9,0.08,0.25,0.39,2.58,0.13,14.2,7.0,10.1
2020-es La Liga-Leganés,2020,es La Liga,Leganés,26.9,43.8,0.79,11.1,3.71,33.5,0.06,0.19,0.13,3.34,0.11,14.6,6.55,10.2
2020-eng Premier League-Leicester City,2020,eng Premier League,Leicester City,26.1,57.6,1.71,14.0,4.76,34.0,0.11,0.33,0.18,1.13,0.08,13.8,8.13,12.6
2020-es La Liga-Levante,2020,es La Liga,Levante,27.7,48.4,1.18,10.9,3.37,30.8,0.1,0.31,0.13,2.08,0.13,13.5,6.95,8.39
2020-de Bundesliga-Leverkusen,2020,de Bundesliga,Leverkusen,26.1,63.8,1.68,14.4,5.38,37.3,0.11,0.3,0.06,1.79,0.18,12.3,7.24,11.2
2020-fr Ligue 1-Lille,2020,fr Ligue 1,Lille,24.3,53.0,1.25,12.4,4.39,35.5,0.09,0.24,0.29,1.75,0.11,13.8,7.0,11.6
2020-eng Premier League-Liverpool,2020,eng Premier League,Liverpool,26.6,63.4,2.18,15.4,5.84,37.9,0.13,0.35,0.13,1.0,0.03,10.2,6.47,9.87
2020-fr Ligue 1-Lyon,2020,fr Ligue 1,Lyon,24.8,56.4,1.5,12.5,4.43,35.3,0.11,0.3,0.21,1.75,0.14,12.3,7.68,11.8
2020-de Bundesliga-M'Gladbach,2020,de Bundesliga,M'Gladbach,26.3,52.4,1.88,14.0,5.56,39.7,0.13,0.32,0.18,2.26,0.09,14.9,7.91,11.8
2020-de Bundesliga-Mainz 05,2020,de Bundesliga,Mainz 05,24.6,43.2,1.24,13.1,4.09,31.2,0.09,0.28,0.09,2.21,0.09,13.2,8.71,11.4
2020-es La Liga-Mallorca,2020,es La Liga,Mallorca,26.8,44.6,1.03,10.8,3.08,28.6,0.08,0.26,0.26,2.45,0.13,16.0,6.37,10.2
2020-eng Premier League-Manchester City,2020,eng Premier League,Manchester City,26.9,66.9,2.63,19.2,6.47,33.7,0.13,0.38,0.29,1.68,0.11,10.3,6.05,9.61
2020-eng Premier League-Manchester Utd,2020,eng Premier League,Manchester Utd,24.8,56.2,1.71,13.9,5.26,37.9,0.1,0.28,0.37,1.92,0.0,13.8,7.89,9.45
2020-fr Ligue 1-Marseille,2020,fr Ligue 1,Marseille,27.1,54.0,1.36,13.3,4.04,30.5,0.09,0.3,0.21,2.39,0.11,12.4,6.86,13.3
2020-fr Ligue 1-Metz,2020,fr Ligue 1,Metz,25.9,45.3,0.96,10.9,3.32,30.5,0.08,0.27,0.14,1.61,0.14,12.7,9.0,13.8
2020-it Serie A-Milan,2020,it Serie A,Milan,24.6,55.1,1.58,16.1,4.92,30.6,0.09,0.28,0.24,2.55,0.16,14.0,8.53,10.8
2020-fr Ligue 1-Monaco,2020,fr Ligue 1,Monaco,26.0,50.8,1.57,13.3,5.0,37.7,0.11,0.29,0.14,2.14,0.36,13.7,9.36,12.7
2020-fr Ligue 1-Montpellier,2020,fr Ligue 1,Montpellier,28.5,47.6,1.18,12.5,4.04,32.3,0.09,0.27,0.18,1.96,0.18,14.9,7.71,10.5
2020-fr Ligue 1-Nantes,2020,fr Ligue 1,Nantes,25.4,48.1,0.82,12.0,4.07,34.0,0.06,0.18,0.07,1.82,0.07,13.4,8.0,13.3
2020-it Serie A-Napoli,2020,it Serie A,Napoli,26.9,59.5,1.58,17.9,5.92,33.0,0.08,0.24,0.13,1.92,0.05,15.7,5.05,9.92
2020-eng Premier League-Newcastle Utd,2020,eng Premier League,Newcastle Utd,26.5,38.6,1.0,10.4,3.34,32.0,0.1,0.3,0.03,1.74,0.08,12.6,7.71,10.3
2020-fr Ligue 1-Nice,2020,fr Ligue 1,Nice,23.9,55.0,1.46,11.8,4.57,38.7,0.11,0.28,0.18,1.93,0.25,13.9,9.04,10.8
2020-fr Ligue 1-Nîmes,2020,fr Ligue 1,Nîmes,25.4,44.6,1.04,12.5,3.93,31.4,0.08,0.25,0.07,1.46,0.21,15.2,8.86,12.0
2020-eng Premier League-Norwich City,2020,eng Premier League,Norwich City,26.0,49.3,0.66,10.8,3.26,30.3,0.06,0.19,0.05,1.79,0.08,12.9,7.11,11.4
2020-es La Liga-Osasuna,2020,es La Liga,Osasuna,27.7,47.5,1.21,11.9,3.74,31.3,0.08,0.27,0.21,2.89,0.16,11.9,6.71,10.2
2020-de Bundesliga-Paderborn 07,2020,de Bundesliga,Paderborn 07,25.7,45.7,1.09,12.5,3.82,30.7,0.08,0.27,0.12,2.47,0.09,11.6,7.71,12.0
2020-fr Ligue 1-Paris S-G,2020,fr Ligue 1,Paris S-G,27.2,65.6,2.63,16.3,6.85,42.0,0.15,0.35,0.3,1.85,0.04,12.0,6.85,11.7
2020-it Serie A-Parma,2020,it Serie A,Parma,28.8,43.6,1.39,11.9,3.82,32.0,0.11,0.34,0.16,2.13,0.03,13.6,6.95,10.7
2020-de Bundesliga-RB Leipzig,2020,de Bundesliga,RB Leipzig,24.2,55.5,2.38,15.9,6.03,38.0,0.14,0.37,0.15,1.56,0.09,12.0,7.71,12.4
2020-es La Liga-Real Madrid,2020,es La Liga,Real Madrid,27.6,59.1,1.84,14.5,5.84,40.2,0.11,0.27,0.29,2.16,0.11,15.0,7.47,10.9
2020-es La Liga-Real Sociedad,2020,es La Liga,Real Sociedad,24.8,56.6,1.39,11.0,3.66,33.3,0.12,0.35,0.13,2.08,0.05,15.0,5.95,9.53
2020-fr Ligue 1-Reims,2020,fr Ligue 1,Reims,25.3,48.8,0.89,11.5,3.14,27.3,0.06,0.23,0.18,1.86,0.18,14.5,8.14,12.3
2020-fr Ligue 1-Rennes,2020,fr Ligue 1,Rennes,25.5,49.8,1.32,12.0,3.93,32.6,0.1,0.31,0.18,1.82,0.04,15.2,6.71,12.1
2020-it Serie A-Roma,2020,it Serie A,Roma,26.9,52.9,1.92,16.6,5.21,31.3,0.1,0.31,0.37,2.92,0.18,12.8,6.18,8.97
2020-fr Ligue 1-Saint-Étienne,2020,fr Ligue 1,Saint-Étienne,27.0,48.0,1.0,10.8,3.46,32.0,0.08,0.24,0.18,2.11,0.11,12.4,9.86,13.5
2020-it Serie A-Sampdoria,2020,it Serie A,Sampdoria,26.0,42.4,1.26,14.5,4.24,29.3,0.07,0.24,0.32,2.92,0.18,13.7,7.58,10.8
2020-it Serie A-Sassuolo,2020,it Serie A,Sassuolo,26.4,57.8,1.82,14.3,5.05,35.3,0.12,0.33,0.16,2.61,0.08,16.6,6.53,10.4
2020-de Bundesliga-Schalke 04,2020,de Bundesliga,Schalke 04,24.6,49.0,1.03,11.3,3.62,32.1,0.09,0.27,0.06,1.88,0.06,12.3,9.0,12.6
2020-es La Liga-Sevilla,2020,es La Liga,Sevilla,27.7,58.4,1.39,12.5,4.29,34.3,0.1,0.28,0.18,2.55,0.03,14.3,5.47,10.5
2020-eng Premier League-Sheffield Utd,2020,eng Premier League,Sheffield Utd,26.9,43.1,0.95,9.29,2.87,30.9,0.1,0.32,0.03,1.66,0.05,9.47,6.84,10.3
2020-eng Premier League-Southampton,2020,eng Premier League,Southampton,25.9,49.3,1.34,13.1,4.45,34.0,0.1,0.29,0.13,1.45,0.11,11.9,7.76,12.7
2020-it Serie A-SPAL,2020,it Serie A,SPAL,27.5,46.8,0.71,12.0,3.0,24.9,0.05,0.19,0.18,2.58,0.11,15.4,6.58,9.37
2020-fr Ligue 1-Strasbourg,2020,fr Ligue 1,Strasbourg,25.8,49.7,1.19,11.8,3.81,32.3,0.09,0.28,0.15,1.7,0.04,12.4,9.07,12.5
2020-it Serie A-Torino,2020,it Serie A,Torino,27.3,47.5,1.16,11.5,3.66,31.8,0.08,0.27,0.21,2.53,0.18,16.4,8.92,10.6
2020-eng Premier League-Tottenham,2020,eng Premier League,Tottenham,26.7,52.2,1.47,11.6,4.08,35.3,0.12,0.34,0.11,2.21,0.08,13.2,6.82,11.7
2020-fr Ligue 1-Toulouse,2020,fr Ligue 1,Toulouse,25.1,44.0,0.75,11.1,3.18,28.7,0.05,0.19,0.21,1.71,0.18,11.3,8.5,14.0
2020-it Serie A-Udinese,2020,it Serie A,Udinese,26.5,44.7,0.97,12.5,3.76,30.0,0.08,0.26,0.0,2.03,0.08,11.9,6.95,10.4
2020-de Bundesliga-Union Berlin,2020,de Bundesliga,Union Berlin,27.7,41.8,1.12,11.4,3.91,34.2,0.09,0.26,0.15,2.09,0.15,11.8,8.44,10.9
2020-es La Liga-Valencia,2020,es La Liga,Valencia,27.0,48.9,1.16,8.58,2.95,34.4,0.12,0.35,0.21,2.11,0.21,16.0,5.82,8.92
2020-es La Liga-Valladolid,2020,es La Liga,Valladolid,27.1,44.3,0.82,9.74,3.16,32.4,0.08,0.23,0.16,2.21,0.0,15.8,7.05,10.5
2020-es La Liga-Villarreal,2020,es La Liga,Villarreal,27.6,53.2,1.63,12.5,4.13,33.1,0.11,0.33,0.29,2.05,0.03,13.0,5.61,9.42
2020-eng Premier League-Watford,2020,eng Premier League,Watford,28.9,42.5,0.92,10.8,3.0,27.8,0.07,0.25,0.21,2.11,0.08,10.4,8.24,11.3
2020-de Bundesliga-Werder Bremen,2020,de Bundesliga,Werder Bremen,26.7,48.8,1.18,12.3,3.97,32.2,0.09,0.27,0.18,2.35,0.12,14.1,8.21,11.7
2020-eng Premier League-West Ham,2020,eng Premier League,West Ham,27.4,44.0,1.29,10.9,4.13,37.9,0.11,0.29,0.11,1.68,0.03,10.9,7.66,12.4
2020-de Bundesliga-Wolfsburg,2020,de Bundesliga,Wolfsburg,26.0,48.3,1.41,13.7,4.56,33.3,0.09,0.28,0.12,2.09,0.12,12.9,8.26,11.8
2020-eng Premier League-Wolves,2020,eng Premier League,Wolves,26.6,48.3,1.29,11.9,3.74,31.3,0.1,0.32,0.11,1.61,0.05,11.7,6.92,11.1
2019-es La Liga-Alavés,2019,es La Liga,Alavés,26.7,42.7,1.03,11.0,3.11,28.2,0.09,0.31,0.08,2.66,0.03,15.6,9.03,9.61
2019-fr Ligue 1-Amiens,2019,fr Ligue 1,Amiens,26.5,46.3,0.79,10.3,3.03,29.3,0.07,0.24,0.08,1.55,0.16,14.3,6.92,11.9
2019-fr Ligue 1-Angers,2019,fr Ligue 1,Angers,28.0,43.0,1.11,11.9,3.97,33.3,0.08,0.25,0.26,1.29,0.11,12.8,9.61,11.9
2019-eng Premier League-Arsenal,2019,eng Premier League,Arsenal,26.7,58.0,1.82,12.2,4.18,34.2,0.14,0.41,0.13,1.92,0.05,14.1,11.6,10.6
2019-it Serie A-Atalanta,2019,it Serie A,Atalanta,26.5,57.8,1.97,16.9,5.55,32.9,0.11,0.35,0.11,1.63,0.08,14.4,10.7,12.4
2019-es La Liga-Athletic Club,2019,es La Liga,Athletic Club,27.6,50.1,1.0,9.68,3.5,36.1,0.09,0.25,0.18,3.11,0.11,14.5,9.24,11.1
2019-es La Liga-Atlético Madrid,2019,es La Liga,Atlético Madrid,26.4,49.4,1.37,11.6,4.21,36.4,0.11,0.31,0.11,2.63,0.13,13.8,9.5,13.8
2019-de Bundesliga-Augsburg,2019,de Bundesliga,Augsburg,26.5,46.6,1.47,13.0,4.65,35.7,0.1,0.28,0.15,1.62,0.03,11.3,8.62,10.9
2019-es La Liga-Barcelona,2019,es La Liga,Barcelona,27.7,64.2,2.32,14.5,6.39,44.0,0.14,0.33,0.24,2.0,0.05,17.2,7.58,10.3
2019-de Bundesliga-Bayern Munich,2019,de Bundesliga,Bayern Munich,27.4,65.5,2.53,18.2,7.24,39.7,0.13,0.34,0.12,1.24,0.06,11.9,6.32,9.41
2019-es La Liga-Betis,2019,es La Liga,Betis,26.7,61.7,1.13,11.6,4.05,35.0,0.09,0.25,0.18,2.34,0.03,17.1,6.82,11.1
2019-it Serie A-Bologna,2019,it Serie A,Bologna,27.0,44.7,1.18,13.0,4.18,32.1,0.08,0.25,0.13,2.39,0.16,14.6,8.21,11.1
2019-fr Ligue 1-Bordeaux,2019,fr Ligue 1,Bordeaux,25.3,50.1,0.89,11.3,3.5,30.9,0.07,0.22,0.16,1.95,0.13,13.7,8.05,11.4
2019-eng Premier League-Bournemouth,2019,eng Premier League,Bournemouth,26.6,46.8,1.45,11.6,4.08,35.2,0.11,0.31,0.24,1.58,0.03,13.1,12.2,8.82
2019-eng Premier League-Brighton,2019,eng Premier League,Brighton,27.4,42.6,0.92,9.55,2.63,27.5,0.08,0.3,0.16,1.61,0.11,8.89,13.7,11.5
2019-eng Premier League-Burnley,2019,eng Premier League,Burnley,28.0,41.2,1.13,9.42,3.0,31.8,0.11,0.36,0.05,1.97,0.03,10.3,13.5,9.34
2019-fr Ligue 1-Caen,2019,fr Ligue 1,Caen,25.8,43.9,0.76,8.89,2.42,27.2,0.07,0.27,0.11,2.08,0.16,13.8,8.34,10.8
2019-it Serie A-Cagliari,2019,it Serie A,Cagliari,27.9,50.0,0.95,11.4,3.26,28.6,0.08,0.27,0.08,2.47,0.24,13.5,6.76,11.1
2019-eng Premier League-Cardiff City,2019,eng Premier League,Cardiff City,27.7,35.6,0.87,10.9,3.0,27.4,0.07,0.26,0.11,1.74,0.03,11.7,16.6,10.7
