,,,,,Playing Time,,,Performance,,,,,,,Per 90 Minutes,,,,,
Country,Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Denmark,Jens Stryger Larsen,"DF,MF",30,8,3,309,3.4,1,1,1,0,0,0,0,0.29,0.29,0.58,0.29,0.58,Matches
Denmark,Jonas Wind,FW,22,5,3,261,2.9,2,1,2,0,0,1,0,0.69,0.34,1.03,0.69,1.03,Matches
Denmark,Mathias Jensen,MF,26,4,2,200,2.2,1,1,1,0,0,0,0,0.45,0.45,0.9,0.45,0.9,Matches
Denmark,Christian Eriksen,MF,29,3,2,194,2.2,0,1,0,0,0,0,0,0,0.46,0.46,0,0.46,Matches
Denmark,Martin Braithwaite,MF,30,2,2,166,1.8,1,1,1,0,0,1,0,0.54,0.54,1.08,0.54,1.08,Matches
Denmark,Jacob Bruun Larsen,FW,23,3,2,141,1.6,1,0,1,0,0,0,0,0.64,0,0.64,0.64,0.64,Matches
Denmark,Rasmus Nissen,"MF,DF",24,2,2,125,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Denmark,Mohammed Daramy,FW,20,4,2,121,1.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Denmark,Kasper Dolberg,FW,24,4,1,196,2.2,2,0,1,1,1,0,0,0.92,0,0.92,0.46,0.46,Matches
Denmark,Andreas Cornelius,FW,28,4,1,114,1.3,1,0,1,0,0,0,0,0.79,0,0.79,0.79,0.79,Matches
Denmark,Jens Jønsson,MF,29,3,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Denmark,Nicolai Boilesen,DF,29,1,1,90,1,0,1,0,0,0,0,0,0,1,1,0,1,Matches
Denmark,Victor Nelsson,DF,23,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Denmark,Lasse Schöne,MF,35,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Denmark,Anders Christiansen,MF,31,1,1,75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Denmark,Jesper Lindstrøm,MF,21,2,1,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Denmark,Robert Skov,"DF,FW",25,1,0,45,0.5,1,0,1,0,0,0,0,2,0,2,2,2,Matches
Denmark,Pione Sisto,"FW,MF",26,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Denmark,Jens Stage,MF,25,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Denmark,Anders Dreyer,"FW,MF",23,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Denmark,Mikael Uhre,FW,27,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Denmark,Marcus Ingvartsen,"FW,MF",26,1,0,14,0.2,1,0,1,0,0,0,0,6.43,0,6.43,6.43,6.43,Matches
Denmark,Alexander Bah,"DF,MF",24,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Denmark,Squad Total,,28,10,110,900,10,30,22,28,2,2,10,0,3,2.2,5.2,2.8,5,
Denmark,Opponent Total,,28.9,10,110,900,10,3,4,3,0,0,18,1,0.3,0.4,0.7,0.3,0.7,
Ecuador,Pervis Estupiñán,"DF,MF",24,17,17,"1,513",16.8,2,1,2,0,0,2,0,0.12,0.06,0.18,0.12,0.18,Matches
Ecuador,Carlos Gruezo,MF,26,16,16,"1,395",15.5,1,0,0,1,1,2,0,0.06,0,0.06,0,0,Matches
Ecuador,Moisés Caicedo,MF,20,15,15,"1,305",14.5,2,4,2,0,0,5,0,0.14,0.28,0.41,0.14,0.41,Matches
Ecuador,Ángel Mena,"MF,FW",34,15,13,"1,079",12,2,3,2,0,0,2,0,0.17,0.25,0.42,0.17,0.42,Matches
Ecuador,Michael Estrada,FW,25,17,11,"1,043",11.6,6,2,6,0,0,2,0,0.52,0.17,0.69,0.52,0.69,Matches
Ecuador,Piero Hincapié,DF,20,11,11,990,11,1,0,1,0,0,1,0,0.09,0,0.09,0.09,0.09,Matches
Ecuador,Félix Torres Caicedo,DF,25,11,11,990,11,2,0,2,0,0,2,0,0.18,0,0.18,0.18,0.18,Matches
Ecuador,Alexander Domínguez,GK,34,10,10,824,9.2,0,0,0,0,0,2,1,0,0,0,0,0,Matches
Ecuador,Enner Valencia,"FW,MF",32,12,10,758,8.4,4,1,3,1,2,5,0,0.47,0.12,0.59,0.36,0.47,Matches
Ecuador,Ángelo Preciado,"DF,MF",23,13,8,755,8.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Ecuador,Robert Arboleda,DF,30,10,8,718,8,1,1,1,0,0,0,0,0.13,0.13,0.25,0.13,0.25,Matches
Ecuador,Gonzalo Plata,"FW,MF",21,16,7,891,9.9,3,1,3,0,0,4,1,0.3,0.1,0.4,0.3,0.4,Matches
Ecuador,Byron Castillo,"DF,MF",23,8,7,613,6.8,0,1,0,0,0,3,0,0,0.15,0.15,0,0.15,Matches
Ecuador,Xavier Arreaga,DF,27,9,7,612,6.8,1,1,1,0,0,0,0,0.15,0.15,0.29,0.15,0.29,Matches
Ecuador,Alan Franco,MF,23,12,7,581,6.5,0,1,0,0,0,3,0,0,0.15,0.15,0,0.15,Matches
Ecuador,Hernán Galíndez,GK,34,6,5,468,5.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Jhegson Méndez,MF,24,7,4,321,3.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Ecuador,Ayrton Preciado,MF,27,7,3,252,2.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Ecuador,Jeremy Sarmiento,MF,19,5,2,236,2.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Romario Ibarra,"MF,FW",27,4,2,184,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Moisés Ramírez,GK,21,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Luis Fernando León,DF,28,2,2,179,2,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5,Matches
Ecuador,Joao Joshimar Rojas,"MF,FW",24,6,2,172,1.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Ecuador,Renato Ibarra,MF,31,3,2,171,1.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Ecuador,Junior Sornoza,"MF,FW",28,3,2,135,1.5,0,0,0,0,0,0,1,0,0,0,0,0,Matches
Ecuador,Pedro Perlaza,DF,30,2,2,131,1.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Ecuador,Fernando Gaibor,MF,30,2,2,121,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Pedro Ortíz,GK,31,2,1,145,1.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Jordy Caicedo,FW,24,6,1,121,1.3,1,0,0,1,1,0,0,0.74,0,0.74,0,0,Matches
Ecuador,José Cifuentes,MF,22,2,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Christian Cruz,DF,29,1,1,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Beder Caicedo,DF,29,2,1,81,0.9,1,0,1,0,0,0,0,1.11,0,1.11,1.11,1.11,Matches
Ecuador,José Carabalí,MF,24,1,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Djorkaeff Reasco,FW,23,1,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,José Hurtado,DF,20,1,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Erick Ferigra,DF,22,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Adolfo Muñoz,MF,24,1,1,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Christian Noboa,MF,36,2,0,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Fidel Martínez,"FW,MF",31,2,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Diego Palacios,DF,22,3,0,39,0.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Ecuador,Janner Corozo,"DF,MF",26,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Damián Díaz,MF,35,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Brayan Angulo,FW,26,4,0,25,0.3,0,1,0,0,0,0,0,0,3.6,3.6,0,3.6,Matches
Ecuador,Romario Caicedo,"DF,MF",31,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Washington Corozo,"FW,MF",23,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Michael Carcelen,MF,24,3,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Jhojan Julio,MF,23,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Juan Cazares,MF,29,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Leonardo Campana,FW,21,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ecuador,Squad Total,,26.3,18,198,"1,620",18,27,18,24,3,4,40,3,1.5,1,2.5,1.33,2.33,
Ecuador,Opponent Total,,28.5,18,198,"1,620",18,18,9,13,5,5,46,3,1,0.5,1.5,0.72,1.22,
England,John Stones,DF,27,9,8,662,7.4,1,1,1,0,0,1,0,0.14,0.14,0.27,0.14,0.27,Matches
England,Harry Kane,FW,28,8,7,585,6.5,12,2,8,4,4,1,0,1.85,0.31,2.15,1.23,1.54,Matches
England,Raheem Sterling,"FW,MF",27,7,7,555,6.2,2,2,2,0,0,1,0,0.32,0.32,0.65,0.32,0.65,Matches
England,Kalvin Phillips,MF,26,7,7,537,6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
England,Kyle Walker,DF,31,6,6,540,6,0,1,0,0,0,1,0,0,0.17,0.17,0,0.17,Matches
England,Mason Mount,"MF,FW",23,8,6,535,5.9,1,2,1,0,0,0,0,0.17,0.34,0.5,0.17,0.5,Matches
England,Phil Foden,"MF,FW",21,7,6,497,5.5,0,4,0,0,0,0,0,0,0.72,0.72,0,0.72,Matches
England,Harry Maguire,DF,28,6,6,495,5.5,4,0,4,0,0,1,0,0.73,0,0.73,0.73,0.73,Matches
England,Declan Rice,MF,23,5,5,447,5,1,0,1,0,0,1,0,0.2,0,0.2,0.2,0.2,Matches
England,Ben Chilwell,"DF,MF",25,5,4,405,4.5,1,1,1,0,0,0,0,0.22,0.22,0.44,0.22,0.44,Matches
England,Conor Coady,DF,28,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
England,Jordan Pickford,GK,27,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
England,Luke Shaw,DF,26,4,4,360,4,0,2,0,0,0,1,0,0,0.5,0.5,0,0.5,Matches
England,Tyrone Mings,"DF,MF",28,4,3,315,3.5,1,0,1,0,0,2,0,0.29,0,0.29,0.29,0.29,Matches
England,Jack Grealish,"MF,FW",26,6,3,313,3.5,1,1,1,0,0,0,0,0.29,0.29,0.58,0.29,0.58,Matches
England,Bukayo Saka,"FW,DF",20,5,3,302,3.4,3,1,3,0,0,0,0,0.89,0.3,1.19,0.89,1.19,Matches
England,Jesse Lingard,"MF,FW",29,6,3,270,3,2,2,2,0,0,0,0,0.67,0.67,1.33,0.67,1.33,Matches
England,Nick Pope,GK,29,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
England,Reece James,"DF,MF",22,5,3,216,2.4,0,2,0,0,0,0,0,0,0.83,0.83,0,0.83,Matches
England,Kieran Trippier,DF,31,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
England,Jude Bellingham,MF,18,4,2,224,2.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
England,James Ward-Prowse,MF,27,3,2,200,2.2,2,0,2,0,1,0,0,0.9,0,0.9,0.9,0.9,Matches
England,Jordan Henderson,MF,31,4,2,198,2.2,1,1,1,0,0,0,0,0.45,0.45,0.91,0.45,0.91,Matches
England,Trent Alexander-Arnold,"MF,DF",23,3,2,194,2.2,0,3,0,0,0,0,0,0,1.39,1.39,0,1.39,Matches
England,Sam Johnstone,GK,28,2,2,180,2,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5,Matches
England,Tammy Abraham,FW,24,4,1,165,1.8,2,1,2,0,0,1,0,1.09,0.55,1.64,1.09,1.64,Matches
England,Aaron Ramsdale,GK,23,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
England,Emile Smith Rowe,FW,21,2,1,86,1,1,1,1,0,0,0,0,1.05,1.05,2.09,1.05,2.09,Matches
England,Jadon Sancho,FW,21,1,1,72,0.8,0,2,0,0,0,1,0,0,2.5,2.5,0,2.5,Matches
England,Dominic Calvert-Lewin,FW,24,2,1,64,0.7,2,0,2,0,0,0,0,2.81,0,2.81,2.81,2.81,Matches
England,Patrick Bamford,FW,28,1,1,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
England,Conor Gallagher,MF,21,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
England,Ollie Watkins,"FW,MF",26,3,0,41,0.5,1,0,1,0,0,0,0,2.2,0,2.2,2.2,2.2,Matches
England,Fikayo Tomori,DF,24,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
England,Eric Dier,"DF,MF",28,0,0,,,,,,,,,,,,,,,Matches
England,Dean Henderson,GK,24,0,0,,,,,,,,,,,,,,,Matches
England,Squad Total,,26.4,10,110,900,10,38,30,34,4,5,13,0,3.8,3,6.8,3.4,6.4,
England,Opponent Total,,28.1,10,110,900,10,3,2,2,1,1,30,1,0.3,0.2,0.5,0.2,0.4,
France,Hugo Lloris,GK,35,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
France,Antoine Griezmann,"MF,FW",30,8,8,648,7.2,6,1,5,1,1,0,0,0.83,0.14,0.97,0.69,0.83,Matches
France,Adrien Rabiot,MF,26,7,6,567,6.3,1,1,1,0,0,0,0,0.16,0.16,0.32,0.16,0.32,Matches
France,Kylian Mbappé,"FW,MF",23,6,5,464,5.2,5,2,5,0,1,0,0,0.97,0.39,1.36,0.97,1.36,Matches
France,Presnel Kimpembe,DF,26,5,5,449,5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
France,Paul Pogba,MF,28,6,5,446,5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
France,Lucas Digne,"DF,MF",28,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
France,Raphaël Varane,DF,28,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
France,Kurt Zouma,DF,27,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
France,Leo Dubois,"DF,MF",27,5,4,329,3.7,0,1,0,0,0,0,0,0,0.27,0.27,0,0.27,Matches
France,Kingsley Coman,MF,25,7,4,311,3.5,0,2,0,0,0,0,0,0,0.58,0.58,0,0.58,Matches
France,Karim Benzema,FW,34,5,3,296,3.3,3,1,3,0,0,1,0,0.91,0.3,1.22,0.91,1.22,Matches
France,Lucas Hernández,DF,25,3,3,258,2.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
France,Anthony Martial,"FW,MF",26,5,3,229,2.5,1,1,1,0,0,0,0,0.39,0.39,0.79,0.39,0.79,Matches
France,Thomas Lemar,"MF,FW",26,3,3,224,2.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
France,Jules Koundé,DF,23,3,3,196,2.2,0,0,0,0,0,0,1,0,0,0,0,0,Matches
France,Aurélien Tchouaméni,MF,22,5,2,238,2.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
France,Benjamin Pavard,DF,25,4,2,237,2.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
France,Theo Hernández,"MF,DF",24,2,2,180,2,0,2,0,0,0,0,0,0,1,1,0,1,Matches
France,Dayot Upamecano,DF,23,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
France,N'Golo Kanté,MF,30,2,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
France,Ousmane Dembélé,FW,24,2,1,117,1.3,1,0,1,0,0,1,0,0.77,0,0.77,0.77,0.77,Matches
France,Moussa Diaby,FW,22,4,1,104,1.2,0,1,0,0,0,0,0,0,0.87,0.87,0,0.87,Matches
France,Clément Lenglet,DF,26,3,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
France,Olivier Giroud,FW,35,2,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
France,Tanguy Ndombele,MF,25,1,1,81,0.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
France,Jordan Veretout,MF,28,3,1,65,0.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
France,Wissam Ben Yedder,"FW,MF",31,3,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
France,Mattéo Guendouzi,MF,22,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
France,Nordi Mukiele,"DF,MF",24,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
France,Moussa Sissoko,MF,32,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
France,Alphonse Areola,GK,28,0,0,,,,,,,,,,,,,,,Matches
France,Ferland Mendy,DF,26,0,0,,,,,,,,,,,,,,,Matches
France,Squad Total,,27.9,8,88,720,8,17,12,16,1,2,8,1,2.12,1.5,3.62,2,3.5,
France,Opponent Total,,27.9,8,88,720,8,3,2,3,0,0,12,0,0.37,0.25,0.62,0.37,0.62,
Germany,Leroy Sané,"MF,FW",26,9,9,675,7.5,4,2,4,0,0,1,0,0.53,0.27,0.8,0.53,0.8,Matches
Germany,Joshua Kimmich,MF,26,8,8,681,7.6,0,1,0,0,0,1,0,0,0.13,0.13,0,0.13,Matches
Germany,Leon Goretzka,MF,26,9,8,632,7,1,7,1,0,0,0,0,0.14,1,1.14,0.14,1.14,Matches
Germany,Antonio Rüdiger,DF,28,7,7,630,7,1,0,1,0,0,2,0,0.14,0,0.14,0.14,0.14,Matches
Germany,Thilo Kehrer,DF,25,7,7,603,6.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Germany,İlkay Gündoğan,MF,31,8,7,584,6.5,5,0,2,3,3,0,0,0.77,0,0.77,0.31,0.31,Matches
Germany,Serge Gnabry,"MF,FW",26,8,7,574,6.4,5,1,5,0,0,0,0,0.78,0.16,0.94,0.78,0.94,Matches
Germany,Manuel Neuer,GK,35,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Germany,Kai Havertz,"FW,MF",22,8,6,487,5.4,3,2,3,0,0,2,0,0.55,0.37,0.92,0.55,0.92,Matches
Germany,Timo Werner,FW,25,8,5,470,5.2,5,1,5,0,0,0,0,0.96,0.19,1.15,0.96,1.15,Matches
Germany,Niklas Süle,DF,26,5,5,418,4.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Germany,Jonas Hofmann,"DF,MF",29,7,5,394,4.4,2,1,2,0,0,0,0,0.46,0.23,0.69,0.46,0.69,Matches
Germany,Matthias Ginter,DF,28,5,4,377,4.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Germany,Lukas Klostermann,DF,25,5,3,321,3.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Germany,Emre Can,DF,28,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Germany,Marc-André ter Stegen,GK,29,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Germany,Thomas Müller,"FW,MF",32,4,3,252,2.8,3,3,3,0,0,0,0,1.07,1.07,2.14,1.07,2.14,Matches
Germany,Marco Reus,MF,32,4,3,246,2.7,2,5,2,0,0,0,0,0.73,1.83,2.56,0.73,2.56,Matches
Germany,David Raum,"MF,DF",23,3,2,188,2.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Germany,Robin Gosens,DF,27,3,2,177,2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Germany,Ridle Baku,"MF,DF",23,3,2,157,1.7,1,0,1,0,0,0,0,0.57,0,0.57,0.57,0.57,Matches
Germany,Jamal Musiala,MF,18,6,1,152,1.7,1,1,1,0,0,1,0,0.59,0.59,1.18,0.59,1.18,Matches
Germany,Florian Neuhaus,MF,24,5,1,149,1.7,0,1,0,0,0,1,0,0,0.6,0.6,0,0.6,Matches
Germany,Christian Günter,DF,28,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Germany,Bernd Leno,GK,29,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Germany,Jonathan Tah,DF,25,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Germany,Florian Wirtz,MF,18,4,0,81,0.9,0,1,0,0,0,0,0,0,1.11,1.11,0,1.11,Matches
Germany,Lukas Nmecha,FW,23,2,0,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Germany,Maximilian Arnold,MF,27,2,0,58,0.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Germany,Karim Adeyemi,FW,20,3,0,51,0.6,1,1,1,0,0,0,0,1.76,1.76,3.53,1.76,3.53,Matches
Germany,Kevin Volland,"FW,MF",29,2,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Germany,Amin Younes,"FW,MF",28,3,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Germany,Julian Brandt,"FW,MF",25,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Germany,Mahmoud Dahoud,MF,26,0,0,,,,,,,,,,,,,,,Matches
Germany,Julian Draxler,"FW,MF",28,0,0,,,,,,,,,,,,,,,Matches
Germany,Philipp Max,"DF,MF",28,0,0,,,,,,,,,,,,,,,Matches
Germany,Nico Schlotterbeck,DF,22,0,0,,,,,,,,,,,,,,,Matches
Germany,Kevin Trapp,GK,31,0,0,,,,,,,,,,,,,,,Matches
Germany,Squad Total,,27.5,10,110,900,10,34,27,31,3,3,12,0,3.4,2.7,6.1,3.1,5.8,
Germany,Opponent Total,,28.5,10,110,900,10,4,2,3,1,1,15,1,0.4,0.2,0.6,0.3,0.5,
Ghana,Daniel Amartey,DF,27,7,7,630,7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Ghana,Alexander Djiku,DF,27,7,7,613,6.8,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Ghana,Jordan Ayew,"FW,MF",30,7,7,538,6,0,1,0,0,0,0,0,0,0.17,0.17,0,0.17,Matches
Ghana,Jojo Wollacott,GK,25,6,6,540,6,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Ghana,Iddrisu Baba,MF,26,8,6,529,5.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Kudus Mohammed,MF,21,6,6,437,4.9,1,0,1,0,0,1,0,0.21,0,0.21,0.21,0.21,Matches
Ghana,Baba Rahman,DF,27,5,5,450,5,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,Matches
Ghana,André Ayew,"MF,FW",32,6,5,420,4.7,3,0,2,1,1,1,0,0.64,0,0.64,0.43,0.43,Matches
Ghana,Kamaldeen Sulemana,MF,19,5,5,367,4.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Thomas Partey,MF,28,4,4,360,4,3,0,3,0,0,1,0,0.75,0,0.75,0.75,0.75,Matches
Ghana,Andy Yiadom,DF,30,4,3,315,3.5,0,1,0,0,0,1,0,0,0.29,0.29,0,0.29,Matches
Ghana,Wakaso,MF,31,4,3,279,3.1,1,0,1,0,0,1,0,0.32,0,0.32,0.32,0.32,Matches
Ghana,Gideon Mensah,DF,23,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,Matches
Ghana,Jonathan Mensah,DF,31,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Abdul Fatawu Issahaku,"FW,MF",17,4,3,240,2.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Ghana,Denis Odoi,DF,33,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Richard Ofori,GK,28,2,2,167,1.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Felix Afena-Gyan,"MF,FW",19,2,2,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Benjamin Tetteh,FW,24,2,1,117,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Yaw Yeboah,MF,24,3,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Emmanuel Lomotey,MF,24,2,1,111,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Joseph Aidoo,DF,26,2,1,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Abdul Fatawu Mohammed,DF,29,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Majeed Ashimeru,MF,24,1,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Richmond Boakye,FW,29,2,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Joel Fameyeh,MF,24,2,1,60,0.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Ghana,Jeffrey Schlupp,MF,29,1,1,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Daniel Kyereh,"FW,MF",25,7,0,253,2.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Elisha Owusu,MF,24,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Kwame Opoku,FW,22,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Osman Bukari,FW,23,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Samuel Owusu,MF,25,3,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Lawrence Ati-Zigi,GK,25,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Caleb Ekuban,"FW,MF",27,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Edmund Addo,MF,21,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Kwasi Okyere Wriedt,FW,27,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ghana,Abdul Ganiyu Ismail,DF,25,0,0,,,,,,,,,,,,,,,Matches
Ghana,Danlad Ibrahim,GK,19,0,0,,,,,,,,,,,,,,,Matches
Ghana,Squad Total,,26.8,8,88,720,8,8,4,7,1,1,13,0,1,0.5,1.5,0.87,1.37,
Ghana,Opponent Total,,27.1,8,88,720,8,4,2,2,2,2,14,0,0.5,0.25,0.75,0.25,0.5,
Iran,Hossein Kanaanizadegan,DF,27,17,17,"1,522",16.9,1,2,1,0,0,1,0,0.06,0.12,0.18,0.06,0.18,Matches
Iran,Ahmad Nourollahi,MF,28,16,14,"1,256",14,3,1,3,0,0,2,0,0.21,0.07,0.29,0.21,0.29,Matches
Iran,Sardar Azmoun,FW,27,14,14,"1,164",12.9,10,4,10,0,1,3,0,0.77,0.31,1.08,0.77,1.08,Matches
Iran,Alireza Beiranvand,GK,29,13,13,"1,170",13,0,0,0,0,0,0,0,0,0,0,0,0,Matches
